NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,TIPO-INGLES,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"ORIENTACAO-DE-OUTRA-NATUREZA","","Estudo da Arquitetura MIPS utilizando a Linguagem ArchC. Programa de Intercâmbio IAESTE Brasil-Espanha.","2004","Brasil","Português","","NAO","","","",0
"INICIACAO_CIENTIFICA","","Construção de Compiladores","2005","Brasil","Português","","NAO","","","",1
"INICIACAO_CIENTIFICA","","Uma Contribuição ao Desenvolvimento de uma Estrutura de Simulação de Plataformas","2005","Brasil","Português","","NAO","","","",2
"INICIACAO_CIENTIFICA","","Automação de Testes para Modelos de Processadores em ArchC","2005","Brasil","Português","","NAO","","","",3
"INICIACAO_CIENTIFICA","","Desenvolvimento de Sistemas de Simulação de Sistemas Multiprocessados","2006","Brasil","Português","","NAO","","","",4
"INICIACAO_CIENTIFICA","","Um Estudo de Metodologias de Projeto de Hardware Usando o Decodificador de Vídeo Theora I","2007","Brasil","Português","","NAO","","","",5
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Desenvolvimento de uma Plataforma de Prototipação de Celulares em System C","2007","Brasil","Português","","NAO","","","",6
"INICIACAO_CIENTIFICA","","Análise e Melhorias de Desempenho em Mecanismos de Memórias Transacionais em Software","2008","Brasil","Português","","NAO","","","",7
"INICIACAO_CIENTIFICA","","Estudos de Virtualização","2010","Brasil","Português","","NAO","","","",8
"INICIACAO_CIENTIFICA","","Interoperabilidade em Clusters de Computadores","2008","Brasil","Português","","NAO","","","",9
"INICIACAO_CIENTIFICA","","Interoperabilidade em Clusters de Computadores","2010","Brasil","Português","","NAO","","","",10
"INICIACAO_CIENTIFICA","","Interoperabilidade entre as plataformas Open Source e Microsoft","2006","Brasil","Português","","NAO","","","",11
"INICIACAO_CIENTIFICA","","Interoperabilidade entre as plataformas Open Source e Microsoft","2006","Brasil","Português","","NAO","","","",12
"INICIACAO_CIENTIFICA","","Estudos de Virtualização","2007","Brasil","Português","","NAO","","","",13
"INICIACAO_CIENTIFICA","","Interoperabilidade em Clusters de Computadores","2011","Brasil","Português","","NAO","","","",14
"INICIACAO_CIENTIFICA","","Técnicas para Estimativa de Consumo de Energia em Dispositivos Móveis","2012","Brasil","Português","","NAO","","","",15
"INICIACAO_CIENTIFICA","","Consumo de Energia em Dispositos Móveis Baseados em Processadores ARM","2012","Brasil","Português","","NAO","","","",16
"INICIACAO_CIENTIFICA","","Desenvolvimento de Aplicações Interoperáveis para Computação em Nuvem","2012","Brasil","Português","","NAO","","","",17
"INICIACAO_CIENTIFICA","","Técnicas para Estimativa de Consumo de Energia em Dispositivos Móveis Baseados em Arquitetura ARM","2013","Brasil","Português","","NAO","","","",18
"INICIACAO_CIENTIFICA","","Metodologia de Avaliação de Desempenho em Máquinas Virtuais","2011","Brasil","Português","","NAO","","","",19
