CODIGO-CURSO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,NIVEL-CURSO,INFORMACOES-ADICIONAIS-CURSOS_Id
"31040047","","","011100000008","Pontifícia Universidade Católica do Rio de Janeiro","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"33020450","","","006700000002","Universidade de São Paulo","ENGENHARIAS","Engenharia Elétrica","","","MESTRADO_DOUTORADO",0
"33070059","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"33070059","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"41000250","","","004300000009","Universidade Federal de Santa Catarina","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"42040167","","","000600000001","Pontifícia Universidade Católica do Rio Grande do Sul","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"60002123","","","010300000003","Universidade Federal do Paraná","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"60041129","","","004300000009","Universidade Federal de Santa Catarina","OUTROS","","","","DOUTORADO",0
"60041870","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","DOUTORADO",0
"60361522","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"90000000","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","","GRADUACAO",0
"90000001","","","071500000009","Pontifícia Universidade Católica de Campinas","ENGENHARIAS","Engenharia Elétrica","","","GRADUACAO",0
"90000002","","","071500000009","Pontifícia Universidade Católica de Campinas","ENGENHARIAS","Engenharia Elétrica","","","GRADUACAO",0
"90000003","","","071500000009","Pontifícia Universidade Católica de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","GRADUACAO",0
"90000004","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","GRADUACAO",0
