CODIGO-INSTITUICAO,SIGLA-INSTITUICAO,SIGLA-UF-INSTITUICAO,SIGLA-PAIS-INSTITUICAO,NOME-PAIS-INSTITUICAO,FLAG-AGENCIA-FOMENTO,FLAG-INSTITUICAO-DE-ENSINO,INFORMACOES-ADICIONAIS-INSTITUICOES_Id
"000100000991","MICROSOFT","SP","BRA","Brasil","NAO","NAO",0
"000200000993","MS","SP","BRA","Brasil","SIM","NAO",0
"000300000995","SB","SP","BRA","Brasil","SIM","NAO",0
"007900000004","UNICAMP","SP","BRA","Brasil","NAO","SIM",0
"007901000997","","SP","BRA","Brasil","NAO","NAO",0
"037700000002","FAPESP","SP","BRA","Brasil","SIM","NAO",0
"071500000009","PUC Campinas","SP","BRA","Brasil","NAO","SIM",0
"142900000009","RUTGERS","","EUA","Estados Unidos","NAO","NAO",0
"321600000003","SBC","RS","BRA","Brasil","NAO","NAO",0
