PARTICIPACAO-DOS-AUTORES,INSTITUICAO-PROMOTORA-DO-CURSO,LOCAL-DO-CURSO,CIDADE,DURACAO,UNIDADE,UNIDADE-INGLES,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"DOCENTE","VI Workshop em Sistemas Computacionais de Alto Desempenho (WSCAD)","WSCAD 2005","Rio de Janeiro","2","horas","",0
"DOCENTE","Universidade Federal de Santa Catarina","Departamente de Informática e Estatística","Florianópolis","4","horas","",1
"DOCENTE","SBC","Workshop de Sistemas Computacionais de Alto Desempenho (WSCAD) 2007","Gramado, RS","2","horas","",2
