SEQUENCIA-FINANCIADOR,CODIGO-INSTITUICAO,NOME-INSTITUICAO,NATUREZA,FINANCIADORES-DO-PROJETO_Id
"1","002100000009","Universidade Federal de Pernambuco","COOPERACAO",0
"2","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","BOLSA",0
"4","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","BOLSA",0
"3","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","BOLSA",0
"2","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","AUXILIO_FINANCEIRO",1
"1","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","BOLSA",1
"1","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","BOLSA",2
"2","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","AUXILIO_FINANCEIRO",3
"1","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","BOLSA",3
"1","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","AUXILIO_FINANCEIRO",4
"1","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","AUXILIO_FINANCEIRO",5
"1","000100000991","Microsoft Brasil Ltda.","AUXILIO_FINANCEIRO",6
"2","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","AUXILIO_FINANCEIRO",7
"1","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","BOLSA",7
"1","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","AUXILIO_FINANCEIRO",8
"2","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","BOLSA",8
"3","906900000003","Microsoft Corporation","AUXILIO_FINANCEIRO",8
"1","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","AUXILIO_FINANCEIRO",9
"1","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","AUXILIO_FINANCEIRO",10
"1","000100000991","Microsoft Brasil Ltda.","AUXILIO_FINANCEIRO",11
"1","000100000991","Microsoft Brasil Ltda.","AUXILIO_FINANCEIRO",12
"1","","","NAO_INFORMADO",13
"1","000200000993","Microsoft Brasil","AUXILIO_FINANCEIRO",14
"1","J86S00000000","Samsung Eletrônica da Amazônia","AUXILIO_FINANCEIRO",15
