SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","Laboratório de Circuitos Lógicos",0
"1","Estruturas de Dados",1
"1","Laboratório de Circuitos Lógicos",2
"2","Algoritmos e Programação de Computadores",2
"1","MO801-Tópicos em Arquitetura e Hardware",3
"1","MC011- Laboratório de Construção de Compiladores",4
"1","MC910 - Construção de Compiladores",5
"1","Laboratório de Construção de Compiladores",6
"1","Construção de Compiladores",7
"1","MC011 - Laboratório de Construção de Compiladores",8
"1","MO403 - Implementação de Linguagens I",9
"1","MC910 - Construção de Compiladores",10
"1","Implementação de Linguagens II",11
"1","Laboratório de Circuitos Lógicos",12
"1","Arquitetura de Computadores (curso de verão)",13
"1","Circuitos Lógicos",14
"1","Arquitetura de Computadores",15
"2","Organização Básica de Computadores",15
