FINALIDADE,INSTITUICAO-PROMOTORA,LOCAL,CIDADE,FINALIDADE-INGLES,OUTRA-PRODUCAO-TECNICA_Id
"","SBC","","","",0
"Avaliação de abstracts para apresentação","North America SystemC Users Group (NASCUG)","","","",1
"Avaliação de abstracts para apresentação","North America SystemC Users Group (NASCUG)","","","",2
"","","","","",3
"","","","","",4
"","","","","",5
"","","","","",6
"","","","","",7
"","","","","",8
"","","","","",9
"","SBC","","","",10
