SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"7","Exploring Memory Hierarchy using ArchC","Trabalho publicado em anais de eventos(Completo)","",0
"8","XIV SEMAC - Semana da Computação - Mini-curso: ArchC: Uma Linguagem de Descrição de Arquiteturas","Participações em eventos(Outra)","",0
"10","Modeling and Simulationg Memory Hierarchies in a Platform-Based Design Methodology","Trabalho publicado em anais de eventos(Completo)","",0
"11","The ArchC Pre-processor and Simulator Generator","Software(Computacional)","",0
"12","Teaching Computer Architecture Using an Architecture Description Language","Trabalho publicado em anais de eventos(Completo)","",0
"14","ArchC: A SystemC-Based Architecture Description Language","Trabalho publicado em anais de eventos(Completo)","",0
"15","Optimizations for Compiled Simulation Using Instruction Type Information","Trabalho publicado em anais de eventos(Completo)","",0
"38","Ambiente de Suporte ao Projeto de Sistemas Embarcado","Participação em banca de trabalhos de conclusão(Mestrado)","",0
"40","Uma Nova Abordagem para um Curso de Projeto de Sistemas Computacionais","Trabalho publicado em anais de eventos(Completo)","",0
"24","The ArchC Architecture Description Language and Tools","Artigo publicado em periódicos(Completo)","",1
"27","Extending the ArchC Language for Automatic Generation of Assemblers","Trabalho publicado em anais de eventos(Completo)","",1
"1","A Retargetable Compiler Framework for DSPs With Instruction-Level Paralelism","Artigo publicado em periódicos(Completo)","",2
"3","Modifing a VLIW Compiler Framework to Implement an Optimizing Compiler for a Fixed Point DSP","Trabalho publicado em anais de eventos(Completo)","",2
"6","Optimal Live Range Merge for Address Register Allocation in Embedded Programs","Trabalho publicado em anais de eventos(Completo)","",2
"42","Platform Designer: An Approach for Modeling Multiprocessor Platforms based on SystemC","Artigo publicado em periódicos(Completo)","",3
