NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"VI Workshop em Sistemas Computacionais de Alto Desempenho (WSCAD)","","","","Rio de Janeiro","",0
"17th International Symposium on Computer Architecture and High Performance Computing","","","","Rio de Janeiro","",1
"International Conference on Hardware-Software Codesign and System Synthesis","","","","Salzburg","",2
"16th SYMPOSIUM ON INTEGRATED CIRCUITS AND SYSTEM DESIGN (SBCCI 2003)","","","","","",3
"Design, Automation & Test in Europe","","","","Paris","",4
"The European Joint Conferences on Theory and Practice of Software (ETAPS)","","","","Genova","",5
"Design Automation Conference (DAC)","","","","Anaheim","",6
"VIII Workshop em Sistemas Computacionais
VIII Workshop em Sistemas Computacionais de Alto Desempenho (WSCAD)","","","","Gramado","",7
"13th SYMPOSIUM ON INTEGRATED CIRCUITS AND SYSTEM DESIGN (SBCCI)","","","","Manaus","",8
"19th International Symposium on Computer Architecture and High Performance Computing","","","","Gramado","",9
