PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"19",0
1,"20",0
2,"38",0
3,"39",0
4,"57",0
5,"63",0
6,"79",0
7,"86",0
8,"87",0
9,"94",0
10,"124",0
11,"146",0
12,"121",0
