PARTICIPACAO-EM-PROJETO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO_Id
0,"4","ATUAL","6","2001","","","985600069164","Instituto de Computação","985600069164","Instituto de Computação",0
1,"6","ATUAL","3","2005","","","007901000997","Instituto de Computação","","",0
2,"9","ANTERIOR","2","2000","2","2004","007901000997","Instituto de Computação","","",0
3,"13","ATUAL","1","2006","","","985600069164","Instituto de Computação","985600069164","Instituto de Computação",0
4,"14","ATUAL","10","2006","","","007901000997","Instituto de Computação","","",0
5,"15","ATUAL","10","2006","","","007901000997","Instituto de Computação","","",0
6,"17","ATUAL","8","2006","","","007901000997","Instituto de Computação","","",0
7,"18","ATUAL","01","2006","","","007901000997","Instituto de Computação","","",0
8,"19","ATUAL","11","2007","","","007901000997","Instituto de Computação","","",0
9,"27","ANTERIOR","","2008","","2010","007901000997","Instituto de Computação","","",0
10,"35","ANTERIOR","","2008","","2009","007901000997","Instituto de Computação","","",0
11,"36","ANTERIOR","","2010","","2013","007901000997","Instituto de Computação","","",0
12,"37","ANTERIOR","","2011","","2013","007901000997","Instituto de Computação","","",0
13,"38","ATUAL","","2012","","","007901000997","Instituto de Computação","","",0
14,"39","ANTERIOR","","2013","","2015","007901000997","Instituto de Computação","","",0
15,"40","ATUAL","","2015","","","007901000997","Instituto de Computação","","",0
16,"41","ATUAL","","2014","","","007901000997","Instituto de Computação","","",0
