NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Concurso público","Concurso para Professor Doutor nível MS-3 no Centro Superior de Educação Tecnológica","2008","Brasil","Português","","","",0
"Concurso público","Concurso Público para Professor Doutor, Nível MS3 do CESET- UNICAMP","2008","Brasil","Português","","","",1
"Concurso público","Concurso Público para Provimento de Cargo de Professor do Ensino Superior - UFSC","2011","Brasil","Português","","","",2
"Concurso público","Concurso Público para a área de Compiladores e Paradigmas de Programação","2014","Brasil","Português","","","",3
