NATUREZA,TITULO,ANO,PAIS,MEIO-DE-DIVULGACAO,IDIOMA,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-TECNICA_Id
"Revisão de artigo","Membro do Comitê de Programa do 11º Simpósio Brasileiro de Linguagem de Programação","2007","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",0
"Revisão de Resumos de Apresentação","Avaliação de resumos submetidos ao 6o. workshop do North America SystemC Users Group","2006","Estados Unidos","NAO_INFORMADO","Inglês","","NAO","","","","NAO",1
"Revisão de Resumos de Apresentação","Avaliação de resumos submetidos ao 7o. workshop do North America SystemC Users Group","2007","Estados Unidos","NAO_INFORMADO","Inglês","","NAO","","","","NAO",2
"Revisão de artigo","Membro do Comitê de Programa do 12º Simpósio Brasileiro de Linguagem de Programação","2008","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",3
"Revisão de artigo","The 2010 International Conference on High Performance Computing & Simulation","2010","França","NAO_INFORMADO","Inglês","","NAO","","","","NAO",4
"Revisão de artigo","International Symposium on Code Generation and Optimization 2012","2011","Estados Unidos","NAO_INFORMADO","Inglês","","NAO","","","","NAO",5
"Revisão de artigo","Elsevier Journal of Systems Architecture","2013","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",6
"Revisão de artigo","Elsevier Journal of Systems Architecture","2011","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",7
"Revisão de artigo","Elsevier Journal of Computers and Electrical Engineering","2013","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",8
"Revisão de artigo","ACM Transactions on Design Automation of Embedded Systems","2012","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",9
"Revisão de artigo","Membro do Comitê de Programa do 10º Simpósio Brasileiro de Linguagem de Programação","2006","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",10
