SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,FORMATO-CARGO-OU-FUNCAO,CARGO-OU-FUNCAO,NOME-UNIDADE,CARGO-OU-FUNCAO-INGLES,ATIVIDADES-DE-DIRECAO-E-ADMINISTRACAO_Id
"28","ANTERIOR","08","2008","06","2009","007901000997","Instituto de Computação","","LIVRE","Vice-chefe do Departamento de Sistemas de Computação","","",0
"30","ATUAL","07","2009","","","007901000997","Instituto de Computação","","COORDENADOR_DE_CURSO","","","",0
