NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Uma Ferramenta para Auxílio na Co-simulação usando VHDL e SystemC","2005","Brasil","Português","","NAO","","",0
"Dissertação de mestrado","ACADEMICO","Memórias Transacionais: Prototipagem e Simulação de Implementações em Hardware e uma Caracterização para o Problema de Gerenciamento de Contenção em Software","2009","Brasil","Português","","NAO","","",1
"Dissertação de mestrado","ACADEMICO","Paralelização Automática de Laços para Arquiteturas Multicore","2010","Brasil","Português","","NAO","","",2
"Dissertação de mestrado","ACADEMICO","Viabilizando a Simulação Multithreaded para Modelos Escritos em SystemC","2010","Brasil","Português","","NAO","","",3
"Dissertação de mestrado","ACADEMICO","Análise de Consumo de Energia em STMs e uma Plataforma de Simulação Multiprocessada com Abstração Híbrida","2010","Brasil","Português","","NAO","","",4
"Dissertação de mestrado","ACADEMICO","Um Simulador Compilado Dinâmico para ArchC","2011","Brasil","Português","","NAO","","",5
"Dissertação de mestrado","ACADEMICO","Formação de Regiões e Otimizações Dinâmicas para Projetos de Máquinas Virtuais Eficientes","2013","Brasil","Português","","NAO","","",6
"Dissertação de mestrado","ACADEMICO","Geração e Síntese em Hardware de Modelos de Processadores SPARC V8 Utilizando ArchC","2015","Brasil","Português","","NAO","","",7
"Dissertação de mestrado","ACADEMICO","MediaBox: Uma Plataforma Baseada em Nocs para Aplicações Multimídia","2011","Brasil","Português","","NAO","","",8
"Dissertação de mestrado","ACADEMICO","Um Framework para Desenvolvimento de Plataformas e uma Metodologia de Depuração Baseada em Reflexão Computacional para SystemC","2007","Brasil","Português","","NAO","","",9
