TIPO,TITULO-DO-CAPITULO-DO-LIVRO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-CAPITULO-DO-LIVRO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Capítulo de livro publicado","Processor Design with ArchC","2008","Estados Unidos","Inglês","IMPRESSO","","SIM","","","NAO",0
"Capítulo de livro publicado","Projeto e Desenvolvimento de Sistemas Embarcados
Multiprocessados","2006","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
