NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","Construção de Modelos de Processadores Usando uma Linguagem de Descrição de Arquiteturas","2005","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",0
"Congresso","","2005","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",1
"Congresso","A Computational Reflection Mechanism to Support Platform Debugging in SystemC","2007","Austria","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",2
"Congresso","","2003","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",3
"Congresso","Design, Automation & Test in Europe 2004","2004","França","","NAO_INFORMADO","http://www.archc.org","NAO","Poster / Painel","Participante","","","NAO",4
"Congresso","International Conference on Compiler Construction","2001","Itália","","NAO_INFORMADO","http://www.disi.unige.it/etaps2001/","NAO","Apresentação Oral","Participante","","","NAO",5
"Congresso","Using Computational Reflection to Support Debugging of ESL Models in SystemC","2008","Estados Unidos","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",6
"Congresso","Memórias Transacionais: Uma Nova Alternativa para Programação Concorrente","2007","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",7
"Congresso","","2000","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",8
"Congresso","","2007","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",9
