SEQUENCIA-ORIENTACAO,TITULO-ORIENTACAO,TIPO-ORIENTACAO,TITULO-ORIENTACAO-INGLES,ORIENTACOES_Id
"33","Desenvolvimento de Sistemas de Simulação de Sistemas Multiprocessados","Iniciação científica","",0
"22","Um Framework para Desenvolvimento de Plataformas e uma Metodologia de Depuração Baseada em Reflexão Computacional para SystemC","Dissertação de mestrado","",1
"29","Automação de Testes para Modelos de Processadores em ArchC","Iniciação científica","",1
"21","Uma Ferramenta para Auxílio na Co-simulação usando VHDL e SystemC","Dissertação de mestrado","",2
"37","Memórias Transacionais: Prototipagem e Simulação de Implementações em Hardware e uma Caracterização para o Problema de Gerenciamento de Contenção em Software","Dissertação de mestrado","",2
