NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de doutorado","Hole Allocation","2007","Brasil","Português","","","",0
"Exame de qualificação de doutorado","Um Framework para Desenvolvimento e Implementação de Sistemas Seguros Baseados em Hardware","2011","Brasil","Português","","","",1
"Exame de qualificação de doutorado","Técnicas de Compilação para Eficiência Energética e Garantias de Tempo Real","2012","Brasil","Português","","","",2
"Exame de qualificação de doutorado","Suporte Arquitetural para Memória Transacional","2007","Brasil","Português","","","",3
