CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"31",0
1,"44",0
2,"56",0
