TITULO-DO-LIVRO,NUMERO-DE-VOLUMES,PAGINA-INICIAL,PAGINA-FINAL,ISBN,ORGANIZADORES,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Processor Description Languages","1","275","294","0123742870","Prabhat Mishra; Nikil Dutt","1","","San Francisco","Morgan Kaufmann",0
"Atualizações em Informática","","331","386","85-87926-1","Karin Breitman; Ricardo Anido","","","Rio de Janeiro","Editora PUC-Rio",1
