SEQUENCIA-LINHA,TITULO-DA-LINHA-DE-PESQUISA,FLAG-LINHA-DE-PESQUISA-ATIVA,OBJETIVOS-LINHA-DE-PESQUISA,TITULO-DA-LINHA-DE-PESQUISA-INGLES,OBJETIVOS-LINHA-DE-PESQUISA-INGLES,PESQUISA-E-DESENVOLVIMENTO_Id
"1","Linguagens de Programação e Compiladores","NAO","","","",0
"2","Arquitetura de Computadores","NAO","","","",0
"3","Projeto de Sistemas Dedicados","NAO","","","",0
"4","Compilação para Arquiteturas Multicore","NAO","","","",0
