CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"INTERNACIONAL","5th International Workshop on Software and Compilers for Embedded Systems(SCOPES 2001","","2001","Proceedings of the 5th International Workshop on Software and Compilers for Embedded Systems(SCOPES 2001)","","","","","","","","","",0
"INTERNACIONAL","International Conference on Compiler Construction (CC)","Genova","2001","Lecture Notes in Computer Science","2027","","","274","288","03029743","","","",1
"INTERNACIONAL","The 15th Symposium on Computer Architecture and 
High Performance Computing (SBAC-PAD)","São Paulo","2003","15th Symposium on Computer Architecture and High Performance Computing (SBAC-PAD 2003)","","","","","","","IEEE Computer Society Press","","",2
"INTERNACIONAL","Design, Automation & Test in Europe (DATE)","Paris","2004","Proceedings of the Design, Automation and Test in Europe Conference","I","","","","","","ACM SIGDA","","",3
"INTERNACIONAL","Workshop on Computer Architecture Education - In Conjunction with the 31st International Symposium on Computer Architecture","Munique","2004","Proceedings of the Workshop on Computer Architecture Education","","","","","","","","","",4
"INTERNACIONAL","16th Symposium on Computer Architecture and High Performance Computing (SBAC'04)","Foz do Iguaçu","2004","Proceedings of the 16th Symposium on Computer Architecture and High Performance Computing (SBAC'04)","","","","","","","","","",5
"INTERNACIONAL","16th Symposium on Computer Architecture and High Performance Computing (SBAC'04)","Foz do Iguaçu","2004","Proceedings of the 16th Symposium on Computer Architecture and High Performance Computing (SBAC'04)","","","","","","","","","",6
"INTERNACIONAL","17th International Symposium on Computer Architecture and High Performance Computing","Rio de Janeiro","2005","Proceedings of the 17th International Symposium on Computer Architecture and High Performance Computing","","","","","","","","","",7
"NACIONAL","Workshop sobre Educação em Arquitetura de Computadores (WEAC) - Em conjunto com o 18th International Symposium on Computer Architecture and High Performance Computing","Ouro Preto","2006","","","","","","","","","","",8
"INTERNACIONAL","IEEE Annual Symposium on VLSI","Porto Alegre","2007","Proceedings of the IEEE Annual Symposium on VLSI (ISVLSI)","","","","253","258","","","","",9
"INTERNACIONAL","18th IEEE/IFIP International Workshop on Rapid Systems Prototyping","Porto Alegre","2007","Proceedings of the 18th IEEE/IFIP International Workshop on Rapid System Prototyping","","","","123","129","","","","",10
"INTERNACIONAL","International Conference on Hardware - Software Codesign and System Synthesis (CODES+ISSS)","Salzburg","2007","Proceedings of the International Conference on Hardware - Software Codesign and System Synthesis (CODES+ISSS)","","","","81","86","","","","",11
"INTERNACIONAL","V IEEE Southern Programmable Logic Conference","São Carlos, Brazil","2009","Proceedings of the V Southern Programmable Logic Conference","","","","","","","","","",12
"INTERNACIONAL","46th ACM/IEEE Design Automation Conference","San Francisco","2009","Proceedings of the 46th ACM/IEEE Design Automation Conference","","","","448","453","","ACM","","",13
"INTERNACIONAL","22nd Symposium on Integrated Circuits and Systemsd Design","Natal","2009","Proceedings of the SBCCI 2009","","","","","","","","","",14
"NACIONAL","X Simpósio em Sistemas Computacionais WSCAD-SSC","São Paulo","2009","Anais do X Simpósio em Sistemas Computacionais WSCAD-SSC","","","","","","","","","",15
"INTERNACIONAL","16th ACM/IEEE International Symposium on Low Power Electronics and Design","Austin","2010","Proceedings of the 16th ACM/IEEE international symposium on Low power electronics and design, 2010","","","","1","6","","","","",16
"NACIONAL","XI Simpósio de Sistemas Computacionais - WSCAD-SSC,","Petrópolis,RJ","2010","Anais do XI Simpósio de Sistemas Computacionais - WSCAD-SSC","","","","1","8","","","","",17
"NACIONAL","I Workshop de Sistemas Embarcados","Gramado","2010","Anais do I Workshop de Sistemas Embarcados","","","","","","","","","",18
"INTERNACIONAL","Conferencia Latino Americana de Computación de Alto Rendimiento","Gramado","2010","Conferencia Latino Americana de Computación de Alto Rendimiento","","","","1","6","","","","",19
"INTERNACIONAL","3rd Workshop on Infrastructures for Software/Hardware Co-design","Chamonix","2011","Proceedings of the 3rd Workshop on Infrastructures for Software/Hardware co-design (WISH)","","","","1","6","","","","",20
"INTERNACIONAL","4th Workshop on Architectural and Microarchitectural Support for Binary Translation","San Jose, USA","2011","Proceedings of the 4th Workshop on Architectural and Microarchitectural Support for Binary Translation","","","","1","6","","","","",21
"INTERNACIONAL","IEEE International Symposium on Rapid System Prototyping - RSP","Karlsruhe","2011","IEEE International Symposium on Rapid System Prototyping - RSP","","","","1","6","","","","",22
"INTERNACIONAL","Workshop on Modeling, Benchmarking and Simulation - MoBS","San Jose, USA","2011","Workshop on Modeling, Benchmarking and Simulation - MoBS","","","","1","6","","","","",23
"INTERNACIONAL","2011 IEEE International Symposium on Workload Characterization","Austin, Texas","2011","Proceedings of the IEEE International Symposium on Workload Characterization","","","","1","4","","","","",24
"INTERNACIONAL","5th Workshop on Architectural and Microarchitectural Support for Binary Translation","Portland","2012","Proceedings of the 5th Workshop on Architectural and Microarchitectural Support for Binary Translation,","","","","1","8","","","","",25
"NACIONAL","XIII Simpósio em Sistemas Computacionais (WSCAD-SSC'12)","Petrópolis","2012","Anais do XIII Simpósio em Sistemas Computacionais (WSCAD-SSC'12)","","","","1","8","","","","",26
"NACIONAL","XIII Simpósio em Sistemas Computacionais (WSCAD-SSC'12)","Petrópolis","2012","Anais do XIII Simpósio em Sistemas Computacionais (WSCAD-SSC'12)","","","","1","8","","","","",27
"INTERNACIONAL","4th ACM/SPEC International Conference on Performance Engineering","Praga","2013","Proceedings of the 4th ACM/SPEC International Conference on Performance Engineering","","","","1","4","","","","",28
"INTERNACIONAL","IEEE International Symposium on Workload Characterization","Portland","2013","Proceedings of the 2013 IEEE International Symposium on Workload Characterization","","","","1","6","","","","",29
"INTERNACIONAL","26th International Symposium on Computer Architecture and High Performance Computing","Paris","2014","26th International Symposium on Computer Architecture and High Performance Computing","","","","1","6","","","","",30
"NACIONAL","Simpósio Brasileiro de Segurança de Computadores","Niterói-RJ","2016","SBSeg 2016 - Artigos completos","","","","","","","","","",31
"INTERNACIONAL","IEEE Computer Society Annual Symposium on VLSI (ISVLSI) 2007","Porto Alegre","2007","Proceedings of the IEEE Annual Symposium on VLSI (ISVLSI)","","","","351","356","","","","",32
