PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,OUTRA-PRODUCAO-TECNICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Linguagens de Programação","","","","","",,,,,,,,,,10,,,,,,,,,,,
"Arquitetura de Computadores","Simulação de Hardware","SystemC","VHDL","","",,,,,,,,,,,0,,,,,,,,,,
"Arquitetura de Computadores","Memória Transacional","Arquiteturas Multicore","","","",,,,,,,,,,,1,,,,,,,,,,
"Arquiteturas Multicore","Compiladores","Otimização de Código","","","",,,,,,,,,,,2,,,,,,,,,,
"Compiladores e Linguagens de Programação","Arquiteturas Paralelas","","","","",,,,,,,,,,,3,,,,,,,,,,
"Arquitetura de Computadores","Memória Transacional","Consumo de Energia","","","",,,,,,,,,,,4,,,,,,,,,,
"SystemC","System-level Design","Linguagem de Descrição de Arquiteturas","Projeto em Nível de Sistema","Arquitetura de Computadores","",,,,,,,,,,,5,,,,,,,,,,
"Arquitetura de Computadores","Compilação Dinâmica","Máquinas Virtuais","","","",,,,,,,,,,,6,,,,,,,,,,
"Architecture Description Language","ArchC","Hardware","Síntese","","",,,,,,,,,,,7,,,,,,,,,,
"Projeto de Sistemas Computacionais","Electronic System Level","Simulação de Plataformas","SystemC","","",,,,,,,,,,,8,,,,,,,,,,
"Projeto em Nível de Sistema","Sistemas embutidos de computador","Plataforma Multi-processador","Linguagem de Descrição de Arquiteturas","","",,,,,,,,,,,9,,,,,,,,,,
"Projeto de Sistemas Computacionais","Projeto em Nível de Sistema","Simulação de Plataformas","Verificação","","",,,,,,,,,,,,0,,,,,,,,,
"Arquitetura de Computadores","Consumo de Energia","Datacenters","","","",,,,,,,,,,,,1,,,,,,,,,
"Arquitetura de Computadores","","","","","",,,,,,,,,,,,,0,,,,,,,,
"Compiladores","Linguagens de Programação","","","","",,,,,,,,,,,,,1,,,,,,,,
