NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Tese de doutorado","Metodologias para Simulações Arquiteturais Rápidas Utilizando a ADL ArchC","2012","Brasil","Português","","","",0
"Tese de doutorado","Metodologias de Introspecção em Projeto em Nível de Sistema","2010","Brasil","Português","","","",1
"Tese de doutorado","Otimizações para Extração Automática de Paralelismo Baseadas na Técnica Decoupled Software Pipeline","2010","Brasil","Português","","","",2
"Tese de doutorado","Análises de Segurança para Execução de Código em Máquinas Virtuais","2010","Brasil","Português","","","",3
