TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","02780070","20","11","","1319","1328","",0
"Design Automation for Embedded Systems","09295585","10","","4","253","283","",1
"ACM Transactions on Design Automation of Electronic Systems","10844309","13","","2","27","27:15","",2
"Sustainable Computing: Informatics and Systems","22105379","2","","4","198","208","",3
"Design Automation For Embedded Systems (Dordrecht. Online)","15728080","16","","1","1","17","",4
"Journal of Supercomputing","09208542","1","","","1","25","",5
"Cluster Computing","13867857","1","","1","1","15","",6
"International Journal of High Performance Systems Architecture (Print)","17516528","3","","2/3","110","","",7
"IEEE Embedded Systems Letters","19430663","1","","99","1","1","",8
"International Journal of Parallel Programming","08857458","33","5","","453","484","",9
