NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","Representações Intermediárias e Geração de Códigos no Compilador Redirecionável Xingo","2005","Brasil","Português","","","",0
"Mestrado","NAO_INFORMADO","Otimização em Loops no Projeto Xingó","2005","Brasil","Português","","","",1
"Mestrado","ACADEMICO","Ambiente de Suporte ao Projeto de Sistemas Embarcado","2006","Brasil","Português","","","",2
"Mestrado","NAO_INFORMADO","Modelagem e Simulação de Barramentos com SystemC","2006","Brasil","Português","","","",3
"Mestrado","ACADEMICO","Uma metodologia analítico-determinística para a avaliação de desempenho no tempo de processadores de rede implementados como sistemas-sobre-silício","2007","Brasil","Português","","","",4
"Mestrado","ACADEMICO","ISAMAP: Tradução Binária Dinâmica Orientada a Mapeamento de Instruções","2008","Brasil","Português","","","",5
"Mestrado","ACADEMICO","Investigação de Técnicas de Cache de Dados para Sistemas Embarcados","2008","Brasil","Português","","","",6
"Mestrado","ACADEMICO","Verificação Funcional Pós-Particionamento em Sistemas Integrados de Hardware e Software","2008","Brasil","Português","","","",7
"Mestrado","ACADEMICO","Um Analisador de Restrições de Tempo Real para Compiladores Redirecionáveis Automaticamente","2008","Brasil","Português","","","",8
"Mestrado","ACADEMICO","Um Modelo de Execução Java no Processador CELL BE","2009","Brasil","Português","","","",9
"Mestrado","ACADEMICO","Aceleradores e Multiprocessadores em Chip: O impacto da execução fora de ordem na verificação de funcionalidade e consistência","2012","Brasil","Português","","","",10
"Mestrado","ACADEMICO","Avaliação Sistemática de Redes Intrachip","2014","Brasil","Português","","","",11
"Mestrado","ACADEMICO","Implementação de Cache no Projeto ArchC","2012","Brasil","Português","","","",12
