NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
Prêmio de Excelência Didática,Instituto de Computação,2009
Mérito Científico pela orientação de Vítor M. Eichemberger,XXIII Congresso de Iniciação Científica da UNICAMP,2015
Melhor ferramenta do Salão de Ferramentas do SBRC 16 (OFSwitch13),SBC e LARC,2016
Professora Homenageada,Formandos dos cursos de Engenharia e Ciência da Computação,2016
