NATUREZA,TITULO-DO-TRABALHO,ANO-DO-TRABALHO,PAIS-DO-EVENTO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TRABALHO-EM-EVENTOS_Id
"COMPLETO","Gerência Flexível de Processos de Software com o Ambiente WebAPSEE","2006","Brasil","Português","IMPRESSO","","NAO","","","NAO",0
"COMPLETO","WebAPSEE: Um Ambiente Livre e Flexível Para Gerência de Processos de Software","2006","Brasil","Português","VARIOS","","NAO","","","NAO",1
"COMPLETO","Um Estudo Etnografico do Processo de Previsao de Tempo","2006","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",2
"RESUMO","Projeto e Implementação de Mecanismo de Execução de Processos de Software do Ambiente WebProcessServices","2005","Brasil","Português","IMPRESSO","","NAO","","","NAO",3
"RESUMO","Uma Ferramenta Inteligente para Simulação de Processo de Software Baseada na Extração de Conhecimento de","2006","Brasil","Português","IMPRESSO","","NAO","","","NAO",4
"COMPLETO","Uso de Gramática de Grafos na Construção de um Modelo para Avaliação Adaptativa de Aprendizagem","2006","Chile","Português","MEIO_DIGITAL","","NAO","","","NAO",5
"COMPLETO","Lições Aprendidas no Processo de Manutenção do Ambiente WebAPSEE","2007","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",6
"COMPLETO","Um Simulador Estocástico de Processo de Software Baseado em Conhecimento","2008","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",7
"COMPLETO","Uma abordagem para Medição em um Ambiente de Desenvolvimento de Software Centrado em Processos","2007","Costa Rica","Português","MEIO_DIGITAL","[http://www.cise.ufl.edu/dept/conf-clei/myreview/]","NAO","","","NAO",8
"COMPLETO","Utilização do Ambiente WebAPSEE na implantação do nível G do MPS.BR no CTIC-UFPA","2009","Brasil","Português","VARIOS","[http://www.labes.ufpa.br]","SIM","","","NAO",9
"COMPLETO","Are We Prepared for Simulation Based Studies in Software Engineering yet?","2012","Argentina","Inglês","MEIO_DIGITAL","","SIM","","","NAO",10
"RESUMO_EXPANDIDO","Reporting Guidelines for Simulation-Based Studies in Software Engineering","2012","Espanha","Inglês","MEIO_DIGITAL","","NAO","","","NAO",11
"COMPLETO","Simulation-Based Studies in Software Engineering: A Matter	of Validity","2014","Chile","Inglês","VARIOS","[http://www.proceedings.com/22505.html]","NAO","","","NAO",12
"COMPLETO","Using Focus Group in Software Engineering: lessons learned on characterizing software technologies in academia and industry","2015","Peru","Inglês","VARIOS","","SIM","","","NAO",13
"COMPLETO","Process Publisher: Um Gerador de Guias Eletro&#770;nicos de Processos de Software","2010","Brasil","Português","VARIOS","[http://www.softex.br/mpsbr/wamps/wamps-2010/]","NAO","","","NAO",14
"COMPLETO","Characterizing DevOps by Hearing Multiple Voices","2016","Brasil","Inglês","VARIOS","","NAO","","","NAO",15
"COMPLETO","Escaping from the Time Box towards Continuous Planning An Industrial Experience","2017","Estados Unidos","Inglês","MEIO_DIGITAL","","NAO","","","NAO",16
"COMPLETO","Um Modelo sobre as Dificuldades para Especificar Casos de Uso","2017","Argentina","Português","MEIO_DIGITAL","","NAO","","","NAO",17
"COMPLETO","WSSP - Um Sistema Geo­referenciado para Segurança Pública na Amazônia","2006","Brasil","Português","VARIOS","","NAO","","","NAO",18
