NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SEMINARIO_Id
"XVI Seminário de Iniciação Científica da UFPA","","","","Belém, PA","",0
"XVII Seminário de Iniciação Científica da UFPA","","","","Belém, PA","",1
