PESQUISA-E-DESENVOLVIMENTO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PESQUISA-E-DESENVOLVIMENTO_Id
0,"7","ANTERIOR","","2004","","2009","004401000993","Centro de Ciências Exatas e Naturais","004401002996","Laboratório de Engenharia de Software",0
1,"1","ANTERIOR","10","2006","11","2006","140201000992","Institut für Informatik","","",1
2,"15","ANTERIOR","03","2010","02","2017","020201000991","Instituto Alberto Luiz Coimbra de Pós Graduação e Pesquisa de Engenharia","020201001998","Programa de Engenharia de Sistemas",2
3,"1","ANTERIOR","02","2014","03","2014","J0QJ01000996","Software Engineering Laboratory","","",3
