NOME-DO-PROJETO,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,RELATORIO-DE-PESQUISA_Id
"WebProcessServices (WPS): Uma Abordagem Flexível para Gerência de Processos de Software Baseados na Internet","56","IRRESTRITA","FINEP",0
"Guidelines for Experimentation with Dynamic Simulation Models in the Context of Software Engineering","20","IRRESTRITA","Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)",1
"Laboratório de Engenharia de Software e Inteligência Artificial: Mecanismos de Automação do Processo de Software usando Técnicas Inteligentes","12","RESTRITA","CNPq",2
