NATUREZA,TITULO-DO-TRABALHO-TECNICO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-TECNICO-INGLES,TRABALHO-TECNICO_Id
"ASSESSORIA","Membro do Comitê de Programa. Simpósio Brasileiro de Qualidade de Software (SBQS)","2011","Brasil","Português","VARIOS","","NAO","","",0
"ASSESSORIA","Membro do Comitê de Programa. Simpósio Brasileiro de Qualidade de Software (SBQS)","2012","Brasil","Português","VARIOS","","NAO","","",1
"ASSESSORIA","Membro do Comitê de Programa. Simpósio Brasileiro de Qualidade de Software (SBQS)","2013","Brasil","Português","VARIOS","","NAO","","",2
"ASSESSORIA","Membro do Comitê de Programa. Simpósio Brasileiro de Qualidade de Software (SBQS)","2014","Brasil","Português","VARIOS","","NAO","","",3
"ASSESSORIA","Membro do Comitê de Programa. Simpósio Brasileiro de Qualidade de Software (SBQS)","2015","Brasil","Português","VARIOS","","NAO","","",4
"ASSESSORIA","Membro do Comitê de Programa. Simpósio Brasileiro de Qualidade de Software (SBQS)","2016","Brasil","Português","NAO_INFORMADO","","NAO","","",5
"ASSESSORIA","Membro do Comitê de Programa. Simpósio Brasileiro de Qualidade de Software (SBQS)","2017","Brasil","Português","NAO_INFORMADO","","NAO","","",6
"ASSESSORIA","Membro do Comitê de Programa. Ibero-American Conference on Software Engineering (CIbSE)","2016","Brasil","Português","NAO_INFORMADO","","NAO","","",7
"ASSESSORIA","Membro do Comitê de Programa. Brazilian Symposium on Software Components, Architectures, and Reuse (SBCARS)","2017","Brasil","Português","NAO_INFORMADO","","NAO","","",8
"ASSESSORIA","Membro do Comitê de Programa. Brazilian Workshop on Agile Methods (WBMA)","2017","Brasil","Português","NAO_INFORMADO","","NAO","","",9
"ASSESSORIA","Membro do Comitê de Programa. Ibero-American Conference on Software Engineering (CIbSE)","2017","Brasil","Português","NAO_INFORMADO","","NAO","","",10
