TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,RELATORIO-DE-PESQUISA_Id
"Projeto e Implementação de Mecanismo de Execução de Processos de Software do Ambiente WebProcessServices","2005","Brasil","Português","IMPRESSO","","NAO","","",0
"Reporting Guidelines for Simulation-Based Studies in Software Engineering (evolved)","2014","Brasil","Português","MEIO_DIGITAL","","NAO","","",1
"Uma Ferramenta Inteligente para Simulação de Processos de Software baseada na Extração de Conhecimento de Logs de Execução do Ambiente WebAPSEE","2006","Brasil","Português","IMPRESSO","","NAO","","",2
