CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"NACIONAL","Sessão de Ferramentas do 20o. Simpósio Brasileiro de Engenharia de Software","Florianópolis, SC","2006","Sessão de Ferramentas do 20o. Simpósio Brasileiro de Engenharia de Software","","","","97","102","","","","",0
"NACIONAL","Workshop de Software Livre - Trilha Nacional","Porto Alegre, RS","2006","VII Workshop sobre Software Livre","","","","163","168","8576690667","Nova Prova","Porto Alegre, RS","",1
"NACIONAL","Simpósio Brasileiro de Sistemas Colaborativos","Natal, RN","2006","Simpósio Brasileiro de Sistemas Colaborativos","","","","1","9","","","","",2
"LOCAL","XVI Seminário de Iniciação Científica da UFPA","Belém","2005","XVI Seminário de Iniciação Científica da UFPA","1","","","88","88","8524703342","Editora da Universidade Federal do Pará","Belém - PA","",3
"LOCAL","XVII Seminário de Iniciação Científica da UFPA","Belém","2006","XVII Seminário de Iniciação Científica da UFPA","","","","58","58","","EDUFPA - Editora Universitária UFPA","Belém, PA","",4
"NACIONAL","XXXII Conferência Latinoamericana de Informática - CLEI 2006","Santiago","2006","XXXII Conferência Latinoamericana de Informática - CLEI 2006","","","","","","","","","",5
"NACIONAL","Workshop de Manutenção de Software Moderna (WMSWM)","Porto de Galinhas (PE)","2007","Workshop de Manutenção de Software Moderna (SBQS 2007 - WMSWM)","","","","1","8","8576691248","","","",6
"NACIONAL","Simpósio Brasileiro de Qualidade de Software","Florianópolis-SC","2008","VII SIMPÓSIO BRASILEIRO DE QUALIDADE DE SOFTWARE","1","","","247","262","9788576691808","Sociedade Brasileira de Computação ? SBC","Porto Alegre - RS","",7
"REGIONAL","CLEI 2007: XXXIII Conferencia Latinoamericana de Informática","San José","2007","CLEI 2007 XXXIII Conferencia Latinoamericana de Informática","","","","","","","","","",8
"NACIONAL","Simpósio Brasileiro de Qualidade de Software","Ouro Preto, MG","2009","VIII Simpósio Brasileiro de Qualidade de Software","","","","310","317","9788586480775","","","",9
"INTERNACIONAL","IX Experimental Software Engineering Latin American Workshop","Buenos Aires","2012","Proceedings of the IX Experimental Software Engineering Latin American Workshop","1","","","1","14","","","","",10
"INTERNACIONAL","16th International Conference on Evaluation & Assessment in Software Engineering (EASE 2012)","Ciudad Real","2012","Proceedings of the EASE 2012","1","","","156","160","9781849195416","IET","","",11
"INTERNACIONAL","Conferencia Iberoamericana em Software Engineering (CIbSE 2014)","Pucón, Chile","2014","17th Conferencia Iberoamericana en Software Engineering (CIbSE 2014)","1","","","308","321","9781632666499","Curran Associates, Inc.","Red Hook, NY","",12
"INTERNACIONAL","Iberoamerican Conference on Software Engineering (CIbSE)","Lima, Peru","2015","Proceedings of the 18th Ibero-American Conference Software Engineering (CIbSE 2015)","1","","","351","364","9789972825804","Curran Associates, Inc","Red Hook, NY","",13
"NACIONAL","Workshop Anual do MPS (WAMPS)","Campinas - SP","2010","WAMPS 2010: VI Workshop Anual do MPS","1","","","236","243","9788599334195","Associação para Promoção da Excelência do Software Brasileiro - SOFTEX","Campinas - SP","",14
"NACIONAL","30th Brazilian Symposium on Software Engineering","Maringá, PR","2016","30th Brazilian Symposium on Software Engineering Proceedings","","","","","","9781450342018","ACM","","",15
"INTERNACIONAL","International Workshop on Rapid Continuous Software Engineering (RCoSE)","Buenos Aires, Argentina","2017","2017 IEEE/ACM 3rd International Workshop on Rapid Continuous Software Engineering (RCoSE)","","","","43","49","","IEEE","","",16
"INTERNACIONAL","XX Ibero-American Conference on Software Engineering","Buenos Aires, Argentina","2017","CIbSE 2017@ICSE 2017","1","","","264","277","","Curran Associates","","",17
"LOCAL","SEPAI (Semana Paraense de Informática) / EIN (Escola de Informática Norte) 2006","Belém-PA","2006","Anais da XX SEPAI - Semana Paraense de Informática e Telecomunicações","","","","","","","","","",18
