NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,RELATORIO-DE-PESQUISA_Id
"Tácio Vinicius Ribeiro","RIBEIRO, T. V.","8","",18,,,,,
"Weverton Luís da Costa Cordeiro","CORDEIRO, W. L. C.","9","0458322041606755",18,,,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","1","",,0,,,,
"Guilherme Horta Travassos","TRAVASSOS, G. H.","2","7541486051032916",,0,,,,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,1,,,,
"Guilherme Horta Travassos","TRAVASSOS, G. H.","2","7541486051032916",,1,,,,
"ALI, NAUMAN BIN","ALI, NAUMAN BIN","1","",,2,,,,
"PETERSEN, KAI","PETERSEN, KAI","2","",,2,,,,
"Breno Bernard Nicolau de França","DE FRANÇA, BRENO BERNARD NICOLAU","3","",,2,,,,
"Breno Bernard Nicolau de França","DE FRANÇA, BRENO BERNARD NICOLAU","1","",,3,,,,
"TRAVASSOS, GUILHERME HORTA","TRAVASSOS, GUILHERME HORTA","2","7541486051032916",,3,,,,
"Adailton Magalhães Lima","LIMA, Adailton Magalhães","1","3179032920191179",,,0,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","2","",,,0,,,
"Ernani de Oliveira Sales","Sales, Ernani de Oliveira","3","7404366404871006",,,0,,,
"Anderson Jorge Serra da Costa","COSTA, A. J. S.","4","7707885586024191",,,0,,,
"Heribert Schlebbe","Schlebbe, H","5","",,,0,,,
"Rodrigo Quites Reis","REIS, Rodrigo Quites","6","9839778710074372",,,0,,,
"Carla Alessandra Lima reis","Lima REIS, Carla Alessandra","7","1614538302774823",,,0,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","1","",,,,0,,
"Breno Bernard Nicolau de França","de França, B. B. N.","1","",,,,1,,
"Breno Bernard Nicolau de França","de França, B. B. N.","1","",,,,2,,
"Breno Bernard Nicolau de França","de França, B. B. N.","1","",,,,3,,
"Breno Bernard Nicolau de França","de França, B. B. N.","1","",,,,4,,
"Breno Bernard Nicolau de França","DE FRANÇA, BRENO BERNARD NICOLAU","1","",,,,5,,
