CODIGO-INSTITUICAO,SIGLA-INSTITUICAO,SIGLA-UF-INSTITUICAO,SIGLA-PAIS-INSTITUICAO,NOME-PAIS-INSTITUICAO,FLAG-AGENCIA-FOMENTO,FLAG-INSTITUICAO-DE-ENSINO,INFORMACOES-ADICIONAIS-INSTITUICOES_Id
"000100000991","SOFTEX","","BRA","Brasil","NAO","NAO",0
"000200000993","YÁZIGI","PA","BRA","Brasil","NAO","NAO",0
"000300000995","SETRANS-RJ","RJ","BRA","Brasil","NAO","NAO",0
"000400000997","DENOX","MG","BRA","Brasil","NAO","NAO",0
"002200000000","CNPq","DF","BRA","Brasil","SIM","SIM",0
"004400000000","UFPA","PA","BRA","Brasil","NAO","SIM",0
"004401000993","","PA","BRA","Brasil","NAO","NAO",0
"004401001990","","PA","BRA","Brasil","NAO","NAO",0
"004401002996","","PA","BRA","Brasil","NAO","NAO",0
"004402000997","","PA","BRA","Brasil","NAO","NAO",0
"004403000990","","PA","BRA","Brasil","NAO","NAO",0
"004403001997","","PA","BRA","Brasil","NAO","NAO",0
"007900000004","UNICAMP","SP","BRA","Brasil","NAO","SIM",0
"007901000997","","SP","BRA","Brasil","NAO","NAO",0
"020200000009","UFRJ","RJ","BRA","Brasil","NAO","SIM",0
"020201000991","","RJ","BRA","Brasil","NAO","NAO",0
"020201001998","","RJ","BRA","Brasil","NAO","NAO",0
"020201002994","","RJ","BRA","Brasil","NAO","NAO",0
"045000000000","CAPES","DF","BRA","Brasil","SIM","SIM",0
"140200000000","US","","RFA","Alemanha","NAO","NAO",0
"140201000992","","","RFA","Alemanha","NAO","NAO",0
"IZSF00000002","QR","PA","BRA","Brasil","NAO","NAO",0
"IZSF01000995","","PA","BRA","Brasil","NAO","NAO",0
"J0QJ00000003","BTH","","SUE","Suécia","NAO","NAO",0
"J0QJ01000996","","","SUE","Suécia","NAO","NAO",0
