NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"Simpósio Brasileiro de Qualidade de Software","","","","Belém - PA","",0
"Simpósio Brasileiro de Qualidade de Software","","","","Ouro Preto","",1
"UFRJ Mobile Day","","","","Rio de Janeiro","",2
"Simpósio Brasileiro de Qualidade de Software","","","","Florianópolis, SC","",3
"Simpósio Brasileiro de Qualidade de Software","","","","Porto de Galinhas - PE","",4
"XXII Simpósio Brasileiro de Engenharia de Software - SBES","","","","Campinas, SP","",5
"ACM / IEEE International Symposium on Empirical Software Engineering and Measurement","","","","Baltimore, MD","",6
