NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,DEMAIS-TRABALHOS_Id
"(in CD)","Jonas - The Jonah Agent In A Computer-Based Learning System","1997","Brasil","","NAO_INFORMADO","","NAO","","","",0
"in CD","Revitalizing Training And Learning In Industries In Brazil","1997","Brasil","Português","NAO_INFORMADO","","NAO","","","",1
