ORGANIZACAO-DE-EVENTO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"90",0
1,"91",0
2,"95",0
3,"96",0
4,"97",0
5,"98",0
6,"116",0
7,"140",0
8,"141",0
9,"142",0
10,"143",0
11,"201",0
12,"202",0
13,"207",0
14,"222",0
15,"264",0
16,"458",0
17,"459",0
18,"530",0
19,"531",0
20,"549",0
21,"626",0
22,"94",0
