NATUREZA,TITULO-DO-SOFTWARE,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-SOFTWARE-INGLES,FLAG-DIVULGACAO-CIENTIFICA,FLAG-POTENCIAL-INOVACAO,SOFTWARE_Id
"COMPUTACIONAL","EComSIG","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO","NAO",0
"COMPUTACIONAL","NBIC Norm Based Interface Configurator","2003","Brasil","","NAO_INFORMADO","","NAO","","","NAO","NAO",1
"COMPUTACIONAL","POKAYOKE","2002","Brasil","","NAO_INFORMADO","","NAO","","","NAO","NAO",2
"NAO_INFORMADO","EComSIG","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO","NAO",3
"NAO_INFORMADO","WELFIT","2012","Brasil","","NAO_INFORMADO","","NAO","","","NAO","SIM",4
