EDITORA,CIDADE-DA-EDITORA,NUMERO-DE-PAGINAS,ISSN-ISBN,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"IDB Impressão Digital do Brasil Gráfica e Editora","Campinas","132","8585783141",0
"EMOPI Editora e Gráfica","Campinas","68","w892 BCU",1
