NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"Painel convidada no IHC 2010 IX Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais","","","","Belo Horizonte","",0
"Painel convidada no SBIE2005, XVI Simpósio Brasileiro de Informática na Educação","","","","Juiz de Fora","",1
