LIVRO-PUBLICADO-OU-ORGANIZADO_Id,SEQUENCIA-PRODUCAO,LIVROS-PUBLICADOS-OU-ORGANIZADOS_Id
0,"1",0
1,"2",0
2,"82",0
3,"158",0
4,"196",0
5,"232",0
6,"234",0
7,"328",0
8,"483",0
9,"541",0
10,"608",0
11,"467",0
