NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Uma Proposta de Arquitetura Para Ambientes de Aprendizado Baseados Em Simulação","1995","Brasil","Português","","NAO","","",0
"Dissertação de mestrado","ACADEMICO","Design de Ambientes Computacionais Para Modelagem Em Um Contexto Educacional","1995","Brasil","Português","","NAO","","",1
"Dissertação de mestrado","ACADEMICO","O Design Centrado No Aprendiz No Sistema Jonas: Uma Experiência de Formação Na Indústria","1997","Brasil","Português","","NAO","","",2
"Dissertação de mestrado","ACADEMICO","Design de Um Ambiente Computacional de Modelagem e Simulação Para Formação de Pessoal Na Indústria","1997","Brasil","Português","","NAO","","",3
"Dissertação de mestrado","ACADEMICO","Contribuições da Semiótica ao Redesign de Interfaces para Ferramentas de Comunicação Eletrônica","2000","Brasil","Português","","NAO","","",4
"Dissertação de mestrado","ACADEMICO","Estudo e Desenvolvimento de Ambientes de Aprendizado Colaborativo a Distância para o Contexto da Educação Inclusiva","2000","Brasil","Português","","NAO","","",5
"Dissertação de mestrado","ACADEMICO","Uma Abordagem Participativa ao Design de Ambiente Computacional de Apoio a Discussão de Problemas no Contexto de Trabalho","2001","Brasil","Português","","NAO","","",6
"Dissertação de mestrado","ACADEMICO","Contribuições da Abordagem Semiótica ao Estudo de Interfaces de Sistemas de Informação Geográfica","2001","Brasil","Português","","NAO","","",7
"Dissertação de mestrado","ACADEMICO","Interface 3D de Aplicações SIG como Espaços de Comunicação","2002","Brasil","Português","","NAO","","",8
"Dissertação de mestrado","ACADEMICO","Uma Abordagem Semiótica para o Design de Portais Infantis com a Participação da Criança","2003","Brasil","Português","","NAO","","",9
"Dissertação de mestrado","ACADEMICO","Estendendo Ambientes de Suporte a Trabalho Cooperativo com Base no Conceito de Workflow","2003","Brasil","Português","","NAO","","",10
"Dissertação de mestrado","ACADEMICO","A Prática de Desenvolvimento de Software e a Abordagem da Semiótica Organizacional","2003","Brasil","Português","","NAO","","",11
