TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
"Informática e Administração","","1","4","","44","47","SAO PAULO - BRASIL",0
"Zetetiké","","2","2","","25","36","Brasil",1
"Instructional Science","","23","","","89","109","UK",2
"TelePress LatinAmerica","","6","36","","55","58","Argentina",3
"British Journal of Educational Technology","","29","1","","25","34","U K",4
"International Journal of Continuing Engineering Education","09574344","9","3/4","","210","221","UK",5
"British Journal of Educational Technology","00071013","31","2","","153","161","Oxford, UK",6
"Computer Applications in Engineering Education","10613773","8","3 and 4","","162","169","England John Wiley & Sons",7
"Computers & Education","03601315","34","3-4","","321","325","",8
"International Journal of Continuing Engineering Education (Cessou em 1997. Cont. ISSN 1560-4624 International Journal of Continuing Engineering Educat","09574344","11","3","","251","260","Suica",9
"Knowledge-Based Systems","09507051","18","8","","455","459","USA",10
"Educational Technology & Society","14364522","6","1","","03","08","United States",11
"Educational Technology & Society","14364522","6","1","","64","69","United States",12
"International Journal of Continuing Engineering Education","09574344","13","1/2","","39","56","Inglaterra",13
"DeSignis (Barcelona)","15784223","5","","","61","72","Editorial Gedisa - Barcelona",14
"IP. Informática Pública","1516697X","8","1","1","07","22","Belo Horizonte",15
"Design Issues","07479360","24","","3","30","45","",16
"Revista Brasileira de Informática na Educação","14145685","16","","1","1","15","",17
"REIC. Revista Eletrônica de Iniciação Científica","15198219","junho","","","1","20","",18
"Universal Access in the Information Society (Print)","16155289","2009","","","1","34","",19
"Semiotica (Berlin)","00371998","175","","1-4","403","428","",20
"Revista Brasileira de Informática na Educação","14145685","16","","3","1","14","",21
"Revista Brasileira de Informática na Educação","14145685","16","","3","1","14","",22
"Computers in Entertainment : CIE","15443574","7","","","10","32","",23
"Ventana Informática","01239678","18","","","163","186","",24
"Revista Brasileira de Informática na Educação","14145685","17","","2","21","35","",25
"Revista Brasileira de Informática na Educação","14145685","17","","2","59","73","",26
"International journal of electronic government research","15483886","7","","3","1","20","",27
"International Journal of Information Systems and Social Change","1941868X","2","","3","16","35","",28
"IEEE Transactions on Consumer Electronics","00983063","56","","3","1988","1996","",29
"IADIS International Journal on WWWInternet","16457641","8","","1","1","15","",30
"International Journal of Multimedia Data Engineering and Management (IJMDEM)","19478534","2","","","1","20","",31
"International Journal for Infonomics (IJI) (Online)","17424712","3","","4","382","391","",32
"International Journal of Web Portals","19380194","3","","","27","40","",33
"Práticas em Informática na Educação","22364560","1","","1","42","54","",34
"International Journal for e-Learning Security (IJeLS)","20464568","1","","","10","18","",35
"International Journal for Digital Society","20402570","3","","1","590","599","",36
"Journal of Information and Data Management - JIDM","21787107","2","","","93","108","",37
"Journal of the Brazilian Computer Society (Impresso)","01046500","1","","","1","10","",38
"Universal Access in the Information Society (Internet)","16155297","1","","","1","21","",39
"Fonte (Belo Horizonte)","18080715","8","","","59","69","",40
"Revista Brasileira de Informática na Educação","14145685","20","","2","31","43","",41
"Educational Technology & Society","14364522","16","","1","57","68","",42
"International Journal for Infonomics (IJI) (Online)","17424712","1","","","792","801","",43
"International Journal of Collaborative Enterprise","17402085","3","","","130","150","",44
"International Journal of Web Based Communities (Print)","14778394","9","","4","519","534","",45
"Social Network Analysis and Mining","18695450","1","","","1","16","",46
"Interactions (New York, N.Y.)","10725520","21","","4","66","69","",47
"International Journal of Human-Computer Studies (Print)","10715819","76","","","40","49","",48
"International Journal of Human-Computer Studies (Print)","10715819","80","","","66","82","",49
"Universal Access in the Information Society (Print)","16155289","1","","","36","","",50
"Cadernos de Informática (UFRGS)","1519132X","8","","3","17","24","",51
"International Journal of Transitions and Innovation Systems","17450071","4","","1/2","96","","",52
"AI & Society","09515666","1","","","1","17","",53
"Revista Brasileira de Informática na Educação","14145685","24","","1","1","15","",54
"Tecnologias, Sociedade e Conhecimento","23188839","3","","1","07","20","",55
"IEEE Transactions on Human-Machine Systems","21682291","1","","","1","13","",56
"Educational Technology & Society","14364522","16","","1","4","14","",57
