NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id
"Tese de doutorado","Design da Interação em Ambientes Virtuais: uma Abordagem Semiótica","2000","Brasil","Português","","NAO","","",0
"Tese de doutorado","O Modelo Fractal de Comunicação: Criando um Espaço de Análise para Inspeção do Processo de Design de Software","2001","Brasil","Português","","NAO","","",1
"Tese de doutorado","Um Processo para Análise da Interação em Sistemas Colaborativos Mediados por Ferramentas Computacionais para Comunicação Textual","2004","Brasil","Português","","NAO","","",2
"Tese de doutorado","Um Modelo de Desenvolvimento de Sistemas para Suporte à Cooperação Fundamentado em Design Participativo e Semiótica Organizacional","2004","Brasil","Português","","NAO","","",3
"Tese de doutorado","Um Framework para Avaliação de Interfaces de Aplicações SIG Web no Domínio Agrícola","2006","Brasil","Português","","NAO","","",4
"Tese de doutorado","Sistemas Críticos sob a Perspectiva do Design de Interação e Comunicação","2010","Brasil","Português","","NAO","","",5
"Tese de doutorado","Estudo e Proposta de um Framework para o Design de Interfaces de Usuário Ajustáveis","2010","Brasil","Português","","NAO","","",6
"Tese de doutorado","Awareness do Espaço de Trabalho em Ambientes Colaborativos Inclusivos na Web","2011","Brasil","Português","","NAO","","",7
"Tese de doutorado","Artefatos e Linguagens de Interação com Sistemas Digitais Contemporâneos: Os Anéis Interativos Ajustáveis para a Televisão Digital Interativa","2010","Brasil","Português","","NAO","","",8
"Tese de doutorado","Design Inclusivo de Sistemas de Informação na Web","2007","Brasil","Português","","NAO","","",9
"Tese de doutorado","Interfaces Autoajustáveis em Websites: Contribuições em Direção ao Design para Todos","2012","Brasil","Inglês","","NAO","","",10
"Tese de doutorado","Rede de Autoridades e Apoio às Interações Sociais na Web: uma Abordagem Culturalmente Informada","2012","Brasil","Português","","NAO","","",11
"Tese de doutorado","Design da Interação na Web Pragmática ? Reduzindo Barreiras Semióticas na Colaboração Mediada pela Web","2013","Brasil","Português","","NAO","","Interaction Design in the Pragmatic Web ? Reducing Semiotic Barriers to Web-mediated Collaboration",12
"Tese de doutorado","Motivational Aspects in the Design of Technology for Social Change","2015","Brasil","Inglês","","NAO","","",13
"Tese de doutorado","Affective quality in computational systems Interaction design for and with children in educational context","2016","Brasil","Inglês","","NAO","","",14
"Tese de doutorado","UMA ANÁLISE DO PAPEL DE SISTEMAS COMPUTACIONAIS COMO MEDIADORES EM REDES SOCIOTÉCNICAS CIENTÍFICAS SOB A ÓTICA DA ACTOR-NETWORK THEORY","2017","Brasil","Português","","NAO","","",15
"Tese de doutorado","Interfaces Tangíveis e o Design de Ambientes Educacionais para Co-construção de Narrativas","2015","Brasil","Português","","NAO","","",16
"Tese de doutorado","Teaching Practice and Learning Design: a Reflective Model for Professional Growth","2014","Brasil","Inglês","","NAO","","",17
"Tese de doutorado","Sistemas Wearable baseados em Métodos de Visão Computacional para Auxiliar Pessoas com Deficiência Visual","2016","Brasil","Português","","NAO","","",18
"Tese de doutorado","Jogos com Propósito e Construção de Conhecimento em Design","2013","Brasil","Português","","NAO","","Games with a purpose and the construction of knowledge in design",19
