TRABALHO-TECNICO_Id,SEQUENCIA-PRODUCAO,PRODUCAO-TECNICA_Id
0,"61",0
1,"67",0
2,"69",0
3,"88",0
4,"89",0
5,"112",0
6,"113",0
7,"139",0
8,"265",0
9,"266",0
10,"267",0
11,"303",0
12,"304",0
13,"305",0
14,"306",0
15,"307",0
16,"308",0
17,"309",0
18,"310",0
19,"311",0
20,"312",0
21,"313",0
22,"68",0
