NATUREZA,TITULO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"edição de anais de conferência","Proceedings of the International Conference on Organisational Semiotics, Interfacing Society, Technology and Organisations","2006","Brasil","Inglês","IMPRESSO","","NAO","","","","NAO",0
"edição de anais de conferência","Atas do II Workshop sobre Fatores Humanos em Sistemas Computacionais","1999","Brasil","Português","IMPRESSO","","NAO","","","","NAO",1
