TIPO-DE-ORIENTACAO,NOME-DO-ORIENTADO,CODIGO-INSTITUICAO,NOME-DA-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-DO-CURSO,FLAG-BOLSA,CODIGO-AGENCIA-FINANCIADORA,NOME-DA-AGENCIA,NUMERO-DE-PAGINAS,NUMERO-ID-ORIENTADO,NOME-DO-CURSO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id
"ORIENTADOR_PRINCIPAL","Osvaldo Luiz de Oliveira","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","0","","Computer Science",0
"CO_ORIENTADOR","Juliana Pereira Salles","033300000002","Universidade Federal de Minas Gerais","","","32000049","Ciências da Computação","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","0","","Computer Science",1
"ORIENTADOR_PRINCIPAL","Marcos Augusto Francisco Borges","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","","8433486304141432","Computer Science",2
"ORIENTADOR_PRINCIPAL","Rodrigo Bonacin","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","","9830819801249558","Computer Science",3
"ORIENTADOR_PRINCIPAL","Juliano Schimiguel","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","","0047384210554210","Computer Science",4
"ORIENTADOR_PRINCIPAL","Marcos Salenko Guimarães","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","","6412135223417090","Computer Science",5
"ORIENTADOR_PRINCIPAL","Vânia Paula de Almeida Neris","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","","0268728255033469","Computer Science",6
"ORIENTADOR_PRINCIPAL","Leonelo Dell Anhol Almeida","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","","4597216569899545","Computer Science",7
"ORIENTADOR_PRINCIPAL","Leonardo Cunha de Miranda","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","","9064196799520278","Computer Science",8
"ORIENTADOR_PRINCIPAL","Amanda Meincke Melo","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","","3659434826954635","Computer Science",9
"ORIENTADOR_PRINCIPAL","Vagner Figuerêdo de Santana","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","","0796625901609802","Computer Science",10
"ORIENTADOR_PRINCIPAL","Roberto Pereira","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","","1607596289960868","Computer Science",11
"ORIENTADOR_PRINCIPAL","Heiko Hornung","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","","5675803251363596","Computer Science",12
"ORIENTADOR_PRINCIPAL","Lara Schibelsky Godoy Piccolo","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","","5053149056051004","Computer Science",13
"ORIENTADOR_PRINCIPAL","Elaine Cristina Saito Hayashi","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","","1500223026483516","Computer Science",14
"ORIENTADOR_PRINCIPAL","Alysson Bolognesi Prado","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","","3903831975353292","Computer Science",15
"ORIENTADOR_PRINCIPAL","Julian Esteban Gutierrez Posada","000800000994","Instituto de Computação","","","90000006","Programa de Pós-graduação em Computação","SIM","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","","7804521958713165","",16
"ORIENTADOR_PRINCIPAL","Alessandro Arpetti","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","","","Computer Science",17
"CO_ORIENTADOR","Laurindo de Souza Britto Neto","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","","","Computer Science",18
"ORIENTADOR_PRINCIPAL","Roberto Romani","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","","5927640821820666","Computer Science",19
