DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,SOFTWARE_Id,PRODUTO-TECNOLOGICO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id
"versão digital em http://www.nied.unicamp.br/xounicamp/
isbn: 9788588833081","",,,,30,,,,,,,,,,
"versão digital em www.nce.ufrj.br/ginape/livro-prouca","",,,,31,,,,,,,,,,
"Book Title
Service Science and Knowledge Innovation
Book Subtitle
15th IFIP WG 8.1 International Conference on Informatics and Semiotics in Organisations, ICISO 2014, Shanghai, China, May 23-24, 2014. Proceedings","",,,,40,,,,,,,,,,
"co-autoria de ex-aluno de posdoc
http://www.igi-global.com/book/evolution-internet-business-sector/112186#description","",,,,41,,,,,,,,,,
"co-autoria de alunos de doutorado","",,,,46,,,,,,,,,,
"co-autoria de pos-doc e pesquisador estrangeiro","",,,,47,,,,,,,,,,
"co-autoria de pos-doc e aluno de doutorado","",,,,48,,,,,,,,,,
"co-autoria de pos-docs e aluno de doutorado","",,,,49,,,,,,,,,,
"co-autoria de pos-docs e prof. pesquisador estrangeiro","",,,,50,,,,,,,,,,
"co-autoria de pos-doc e aluno de doutorado","",,,,51,,,,,,,,,,
"co-autora de posdoc","",,,,52,,,,,,,,,,
"co-autora de pesquisador de outra instituição e pos-docs","",,,,53,,,,,,,,,,
"co-autoria de pos-doc e aluo de doutorado","",,,,54,,,,,,,,,,
"co-autoria de aluna de doutorado","",,,,55,,,,,,,,,,
"co-autoria de aluno de doutorado","",,,,56,,,,,,,,,,
"co-autoria de prof. de outras instituições","",,,,57,,,,,,,,,,
"Book
Lecture Notes in Business Information Processing
Volume 241 2015
Enterprise Information Systems
[Revised Selected Papers from 17th International Conference, ICEIS 2015, Barcelona, Spain, April 27-30, 2015] 
Editors: Slimane Hammoudi, Leszek Maciaszek, Ernest Teniente, Olivier Camp, José Cordeiro
ISBN: 978-3-319-29132-1 (Print) 978-3-319-29133-8 (Online)","",,,,60,,,,,,,,,,
"co-autoria de doutoranda.","",,,,61,,,,,,,,,,
"co-autoria de alunos de doutorado e pos-doutorado","",,,,62,,,,,,,,,,
"Cap. 13","",,,,64,,,,,,,,,,
"Edição dos Proceedings do ICOS2006","",,,,,0,,,,,,,,,
"Book with co-authorship of international collaborators.","",,,,,,2,,,,,,,,
"Editorial para a Revista","",,,,,,3,,,,,,,,
"Editoria para a Revista","",,,,,,4,,,,,,,,
"Editorial para a Revista.","",,,,,,5,,,,,,,,
"produto da tese de doutorado de Vagner Figueredo de Santana, IC UNICAMP 2012","",,,,,,,4,,,,,,,
"Detalhes de Patente - Dados de Propriedade Intelectual
Título Artefato Físico de interação de televisão digital
Autores Maria Cecília Calani Baranauskas
Leonardo Cunha de Miranda
Unidade da Patente Instituto de Computação
Status Requerido
Data de Protocolo
(dd/mm/yyyy) 19 / 10 / 2010
Nº de Protocolo 18100039107
Órgão INPI
Grupos e Sub-Grupos
Comunicações e Tecnologia da Informação
Emissão e recepção de sinais
TV Digital","",,,,,,,,0,,,,,,
"Relatório Técnico IC-98-26","",,,,,,,,,1,,,,,
"Relatório técnico de pesquisa","",,,,,,,,,2,,,,,
"Relatório Técnico IC-98-09","",,,,,,,,,22,,,,,
"palestra convidada.","",,,,,,,,,,0,,,,
"mesa-redonda","",,,,,,,,,,3,,,,
"Keynote Speaker - Palestrante convidada.","",,,,,,,,,,4,,,,
"Mesa-Redonda","",,,,,,,,,,5,,,,
"Palestra convidada na Serie de Seminários do NIED","",,,,,,,,,,6,,,,
"Apresentação no Hands on Workshop of ICISO 2016","",,,,,,,,,,8,,,,
"Palestra de abertura do WIE 2010 (convidada)","",,,,,,,,,,9,,,,
"Mesa Redonda","",,,,,,,,,,10,,,,
"Mesa Redonda","",,,,,,,,,,12,,,,
"Palestra de Abertura do WEI 2011 (convidada)","",,,,,,,,,,13,,,,
"Mesa Redonda","",,,,,,,,,,14,,,,
"Mesa Redonda","",,,,,,,,,,15,,,,
"Program Committee member.","",,,,,,,,,,,3,,,
"Comite de Programa","",,,,,,,,,,,6,,,
"Program Committee member.","",,,,,,,,,,,7,,,
"Program Committee member.","",,,,,,,,,,,8,,,
"co-chair for short papers and posters.","",,,,,,,,,,,9,,,
"general chair for WIE2003.","",,,,,,,,,,,10,,,
"General Co-Chair of CLIHC2005 
together with Oscar Mayora Ibarra","",,,,,,,,,,,11,,,
"Students Volunteer Co-Chair.","",,,,,,,,,,,12,,,
"General Chair for ICOS 2006, July 5-7, 2006
Together with Kecheng Liu","",,,,,,,,,,,14,,,
"IHC 2012
06/11/2012
Holiday Inn Express, Cuiabá, MT","",,,,,,,,,,,17,,,
"Coordenação do SBIE 2013.

25 a 29 de novembro de 2013.","",,,,,,,,,,,18,,,
"2 de maio de 2013.","",,,,,,,,,,,19,,,
"IHC 2014
Parque Tecnológico de Itaipu,
Foz do Iguaçu
27 a 31 de Outubro de 2014","",,,,,,,,,,,20,,,
"Coordenação Geral de Evento Internacional.","",,,,,,,,,,,21,,,
"15/12/2005","",,,,,,,,,,,,16,,
"21/02/2006","",,,,,,,,,,,,17,,
"22/02/2006","",,,,,,,,,,,,18,,
"Data da Defesa: 26 de julho de 2006","",,,,,,,,,,,,19,,
"Data da Defesa: 31 de julho de 2006.","",,,,,,,,,,,,20,,
"Defendida em 6 de junho de 2008","",,,,,,,,,,,,21,,
"Mestrado defendido em 8/4/2009","",,,,,,,,,,,,23,,
"Mestrado defendido em 1/04/2009","",,,,,,,,,,,,24,,
"Co-orientador: Dr. Rodrigo Bonacin, CTI","",,,,,,,,,,,,25,,
"BOLSA CNPq (PCI - CTI) 
Co-orientador: Dr. Rodrigo Bonacin, CTI

defendida em 30 de março de 2011","",,,,,,,,,,,,27,,
"Dissertação de Mestrado defendida em 13 de junho de 2011","",,,,,,,,,,,,28,,
"defendida em 12 de agosto de 2011.","",,,,,,,,,,,,29,,
"dissertação defendida em 02/12/2013","",,,,,,,,,,,,30,,
"defesa em agosto de 2016","",,,,,,,,,,,,33,,
"Data da Defesa: 28 de Setembro de 2006.","",,,,,,,,,,,,,4,
"Tese defendida em 27 de outubro de 2010.
Co-orientação de Eliane Martins.","",,,,,,,,,,,,,5,
"Tese defendida em 28 de fevereiro de 2011.","",,,,,,,,,,,,,7,
"Tese defendida em 27 de agosto de 2010.","",,,,,,,,,,,,,8,
"data da defesa: 7/12/2007
Trabalho derivado da tese foi finalista do Prêmio Mário Covas de 2007:

"Tornando o portal da Diretoria Acadêmica da Universidade Estadual de Campinas (Unicamp) um espaço virtual inclusivo"
Instituição envolvida: Diretoria Acadêmica da Universidade Estadual de Campinas (DAC/Unicamp)
Responsável pela inscrição: Antonio Faggiani (DAC/Unicamp)
Integrantes da equipe: Amanda Meincke Melo (IC/Unicamp), Maria Cecília Calani Baranauskas (IC/Unicamp), Alexandre Arroio de Lima (CCUEC/Unicamp), Fabiana F. G. Bonilha (IA/Unicamp), Gustavo Tomazi, Luis Paulo, Passari Marui (IC/FEEC), Magali Barcelos (CCUEC/Unicamp), Roberto Romani (CCUEC/Unicamp), funcionários e estagiários da Diretoria Acadêmica da Unicamp que atuaram diretamente no projeto: Amanda Larissa de Oliveira (estagiária, 03/2006 ? 05/2007), André Luis Pedro (estagiário, 02/2007 ? 05/2007), Benedita Valquíria C. Jacob, Calimério Donizetti Silva, Claudia Eli Tristão de Jesus, Denise de Cássia Lena, Eder Miranda, Fernandy Ewerardy de Souza, Juliana Aparecida Camargo, Luciana de Assis Pacheco, Maria Alice Ramos (estagiária, 03/2006 ? 02/2007), Maria da Glória Chagas de Paula, Nilza Amasilia Antonio, Paulo José Moreira, Sandra Aparecida Moreno, Sarah Regina C. Fagundes, Silvana Godoy do Amaral, Silvio de Souza II, Solange Aparecida Magalhães Villalba, Stella Maris Romeo Rosa, Zilda Aparecida Rodriguez Mamoni
Categoria: Uso das Tecnologias de Informação e Comunicação
Tema: Design de Hipermídia","",,,,,,,,,,,,,9,
"Defendida em 28 de setembro de 2012.","",,,,,,,,,,,,,10,
"defesa em 12/12/2012.","",,,,,,,,,,,,,11,
"Tese defendida em 11/12/2013","",,,,,,,,,,,,,12,
"Programa de Co-tutela da Università Politecnica Delle Marche e UNICAMP
TUTORS:
PROF. TOMMASO LEO
PROF. MARIA CECILIA CELANI BARANAUSKAS

UNIVERSITÀ POLITECNICA DELLE MARCHE
SCUOLA DI DOTTORATO IN INGEGNERIA DELL?INFORMAZIONE
CURRICULUM E-LEARNING ? XII CICLO

UNIVERSIDADE ESTATUAL DE CAMPINAS
INSTITUTO DE COMPUTAÇÃO","",,,,,,,,,,,,,17,
"Orientador: Siome Klein Goldenstein","",,,,,,,,,,,,,18,
"Tese defendida em 13/12/2013","",,,,,,,,,,,,,19,
"Televisão Digital Interativa: Interface Multimodal Nucleada pelos Anéis Interativos Ajustáveis 

IC UNICAMP (01/10/2010 a 31/07/2011)","",,,,,,,,,,,,,,0
"período: 01/08/2011 - dez/2012","",,,,,,,,,,,,,,1
"período: fev/2013 a janeiro/2014","",,,,,,,,,,,,,,2
"Normas no Design Socialmente Consciente de Sistemas Computacionais: Artefatos, Métodos e Ferramentas

Bolsista Fapesp 2013","",,,,,,,,,,,,,,6
