FINALIDADE,DURACAO-EM-MESES,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,CIDADE-DO-TRABALHO,FINALIDADE-INGLES,TRABALHO-TECNICO_Id
"relatório de pesquisa IC - Unicamp","0","0","IRRESTRITA","","Campinas","",0
"Relatório técnico de pesquisa","0","0","IRRESTRITA","","Campinas","",1
"Relatório técnico de pesquisa","0","0","IRRESTRITA","","Campinas","",2
"Relatório Técnico IC 00-15","0","10","IRRESTRITA","","","",3
"Relatório Técnico RT LPP 008/2000","0","30","IRRESTRITA","","","",4
"","","18","IRRESTRITA","","CAMPINAS","",5
"","","15","IRRESTRITA","","CAMPINAS","",6
"Relatório Técnico","0","62","IRRESTRITA","Unicamp","Campinas","",7
"Relatório de Pesquisa IC ? IC-07-019","","24","IRRESTRITA","Unicamp, Instituto de Computação (IC ? IC-07-019)","Campinas","",8
"Relatório de Pesquisa IC ? IC-07-016","","17","IRRESTRITA","Unicamp, Instituto de Computação","Campinas","",9
"Relatório de Pesquisa IC ? IC-07-030","","12","IRRESTRITA","Unicamp, Instituto de Computação","Campinas","",10
"","","33","IRRESTRITA","","Campinas","",11
"","","21","IRRESTRITA","","Campinas","",12
"","","18","IRRESTRITA","","Campinas","",13
"","","17","IRRESTRITA","","Campinas","",14
"","","4","IRRESTRITA","","Campinas","",15
"","","22","NAO_INFORMADO","","Campinas","",16
"","","38","IRRESTRITA","","Campinas","",17
"","","11","NAO_INFORMADO","","Campinas","",18
"","","14","IRRESTRITA","","Campinas","",19
"","","13","IRRESTRITA","","Campinas","",20
"","","95","IRRESTRITA","","Campinas","",21
"Relatório ténico de pesquisa","0","0","IRRESTRITA","","Campinas","",22
