TIPO,TITULO-DO-CAPITULO-DO-LIVRO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-CAPITULO-DO-LIVRO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Capítulo de livro publicado","Domain Oriented Modelling: A Balance Between Simulation And Programming","1995","Inglaterra","Inglês","IMPRESSO","","NAO","","","NAO",0
"Capítulo de livro publicado","Learning By Creating Models: A Computer-Based Environment For Industrial Application","1997","Holanda","Inglês","IMPRESSO","","NAO","","","NAO",1
"Capítulo de livro publicado","Procedimento, Função, Objeto Ou Lógica? Linguagens de Programação Vistas Pelos Seus Paradigmas","1994","Brasil","Português","IMPRESSO","","NAO","","","NAO",2
"Capítulo de livro publicado","Uma Abordagem Construcionista Ao Design de Um Ambiente Para Programação Em Lógica","1993","Brasil","Português","IMPRESSO","","NAO","","","NAO",3
"Capítulo de livro publicado","Uma Taxonomia Para Usos do Computador Em Educação","1999","Brasil","Português","IMPRESSO","","NAO","","","NAO",4
"Capítulo de livro publicado","Uma ferramenta de Comunicação Síncrona para o usuário especial","1999","Brasil","Português","IMPRESSO","","NAO","","","NAO",5
"Capítulo de livro publicado","Caleidoscópio: um espaço virtual de comunicação/educação alternativas","1999","Brasil","Português","IMPRESSO","","NAO","","","NAO",6
"Capítulo de livro publicado","Acessibilidade em Ambientes Educacionais: para Além das Guidelines","2000","Brasil","Português","IMPRESSO","","NAO","","","NAO",7
"Capítulo de livro publicado","Looking Inside: Understanding Communication in the Organisational Context of Software Design","2002","Holanda","Inglês","IMPRESSO","","NAO","","","NAO",8
"Capítulo de livro publicado","Analysing Communication in the Context of a Software Production Organisation","2003","Holanda","Inglês","IMPRESSO","","NAO","","","NAO",9
"Capítulo de livro publicado","Website Interfaces as Representamina of Organizational Behaviour","2003","Holanda","Inglês","IMPRESSO","","NAO","","","NAO",10
"Capítulo de livro publicado","Design e Avaliação de Tecnologia Web-acessivel","2005","Brasil","Português","MEIO_DIGITAL","www.sbc.org.br/sbc2005","NAO","","","NAO",11
"Capítulo de livro publicado","Design Inclusivo de Sistemas de Informação na Web (Cap. 5)","2006","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",12
"Capítulo de livro publicado","Towards a Social-based Process for Information System Development: a Case Study","2007","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",13
"Capítulo de livro publicado","Todos Nós - Unicamp Acessível","2008","Brasil","Português","IMPRESSO","","NAO","","Todos Nós - Unicamp Acessível","NAO",14
"Capítulo de livro publicado","Design para Aprendizado no Contexto de Trabalho","2007","Brasil","Português","IMPRESSO","","NAO","","","NAO",15
"Capítulo de livro publicado","Design de Sistemas e o Profissional Reflexivo: um modelo semio-participativo","2009","Brasil","Português","IMPRESSO","","NAO","","Design de Sistemas e o Profissional Reflexivo: um modelo semio-participativo","NAO",16
"Capítulo de livro publicado","Oficinas participativas inclusivas mediadas pelo modelo ACBP","2009","Brasil","Português","IMPRESSO","","NAO","","","NAO",17
"Capítulo de livro publicado","Avaliando a Qualidade Afetiva de Sistemas Computacionais Interativos no Cenário Brasileiro","2009","Brasil","Português","IMPRESSO","","NAO","","","NAO",18
"Capítulo de livro publicado","Um laptop por aluno: uma nova promessa","2009","Brasil","Português","IMPRESSO","","NAO","","","NAO",19
"Capítulo de livro publicado","Prospecting an Inclusive Search Mechanism for Social Network Services","2011","Alemanha","Inglês","IMPRESSO","","NAO","","","NAO",20
"Capítulo de livro publicado","A Framework Based on Ajax and Semiotics to Build Flexible User Interfaces","2011","Alemanha","Inglês","IMPRESSO","","NAO","","","NAO",21
"Capítulo de livro publicado","Seeing Social Software Analysis and Evaluation through the Lenses of Culture","2012","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",22
"Capítulo de livro publicado","Apresentação","2012","Brasil","Português","IMPRESSO","http://www.nied.unicamp.br/xounicamp/","NAO","","","SIM",23
"Capítulo de livro publicado","XO na Escola em sua Linha do Tempo","2012","Brasil","Português","NAO_INFORMADO","http://www.nied.unicamp.br/xounicamp/","NAO","","","SIM",24
"Capítulo de livro publicado","Registro de processos de significação: o vídeo como ferramenta","2012","Brasil","Português","IMPRESSO","http://www.nied.unicamp.br/xounicamp/","NAO","","","SIM",25
"Capítulo de livro publicado","Formação como processo transversal","2012","Brasil","Português","IMPRESSO","http://www.nied.unicamp.br/xounicamp/","NAO","","","SIM",26
"Capítulo de livro publicado","O XO na Percepção dos Funcionários da Escola","2012","Brasil","Português","IMPRESSO","http://www.nied.unicamp.br/xounicamp/","NAO","","","SIM",27
"Capítulo de livro publicado","O XO na Percepção de Pais e Alunos","2012","Brasil","Português","IMPRESSO","http://www.nied.unicamp.br/xounicamp/","NAO","","","SIM",28
"Capítulo de livro publicado","Uma Abordagem Sócio-situada para Tecnologia e Educação: Concepção e Método","2012","Brasil","Português","IMPRESSO","http://www.nied.unicamp.br/xounicamp/","NAO","","","SIM",29
"Capítulo de livro publicado","O Exercício de Subir e Descer a Escada Semiótica: Considerações Finais","2012","Brasil","Português","IMPRESSO","http://www.nied.unicamp.br/xounicamp/","NAO","","","SIM",30
"Capítulo de livro publicado","Laptop Educacional e a Educação Baseada na Investigação: do Estudar Fatos Científicos para o Fazer Ciência","2012","Brasil","Português","NAO_INFORMADO","","NAO","","","SIM",31
"Capítulo de livro publicado","Introdução","2013","Brasil","Português","IMPRESSO","","NAO","","","SIM",32
"Capítulo de livro publicado","O Modelo Semioparticipativo de Design","2013","Brasil","Português","IMPRESSO","","NAO","","","NAO",33
"Capítulo de livro publicado","e-Cidadania na Linha do Tempo","2013","Brasil","Português","IMPRESSO","","NAO","","","NAO",34
"Capítulo de livro publicado","O Sistema Vila na Rede sob a perspectiva de Valores em Software Social","2013","Brasil","Português","IMPRESSO","","NAO","","","NAO",35
"Capítulo de livro publicado","Metarreflexão","2013","Brasil","Português","IMPRESSO","","NAO","","","NAO",36
"Capítulo de livro publicado","Cognitive Authority revisited in Web Social Interaction","2013","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",37
"Capítulo de livro publicado","Collective Construction of Meaning and System for an Inclusive Social Network","2013","Estados Unidos","Inglês","IMPRESSO","http://services.igi-global.com/resolvedoi/resolve.aspx?doi=10.4018/978-1-4666-2922-6.ch011","NAO","10.4018/978-1-4666-2922-6.ch011","","NAO",38
"Capítulo de livro publicado","Introducing New Technology in Educational Contexts: Schools as Organizations","2013","Brasil","Português","NAO_INFORMADO","http://link.springer.com/10.1007/978-3-642-40654-6_21","NAO","10.1007/978-3-642-40654-6_21","","NAO",39
"Capítulo de livro publicado","Creating an iDTV Application from Inside a TV Company: A Situated and Participatory Approach","2014","China","Inglês","IMPRESSO","http://link.springer.com/10.1007/978-3-642-55355-4_7","NAO","10.1007/978-3-642-55355-4_7","","NAO",40
"Capítulo de livro publicado","A Roadmap on Awareness of Others in Accessible Collaborative Rich Internet Applications","2014","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",41
"Capítulo de livro publicado","ABInv Aprendizagem Baseada na Investigação - A Metodologia","2014","Brasil","Bretão","MEIO_DIGITAL","http://www.nied.unicamp.br/?q=publicacoes","NAO","","","NAO",42
"Capítulo de livro publicado","Apresentação","2014","Brasil","Português","MEIO_DIGITAL","http://www.nied.unicamp.br/?q=publicacoes","NAO","","","NAO",43
"Capítulo de livro publicado","Concepções espontâneas, mãos na massa e reflexões nas práticas de investigação: Dinâmica de Formação.","2014","Brasil","Português","MEIO_DIGITAL","http://www.nied.unicamp.br/?q=publicacoes","NAO","","","NAO",44
"Capítulo de livro publicado","Refletindo sobre o ABInv","2014","Brasil","Português","MEIO_DIGITAL","http://www.nied.unicamp.br/?q=publicacoes","NAO","","","NAO",45
"Capítulo de livro publicado","Designing Natural User Interfaces Scenarios for All and for Some: An Analysis Informed by Organizational Semiotics Artifacts","2015","Estados Unidos","Inglês","VARIOS","http://link.springer.com/10.1007/978-3-319-16274-4_10","NAO","10.1007/978-3-319-16274-4_10","","NAO",46
