SEQUENCIA-AREA-DE-ATUACAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DE-ATUACAO_Id
"1","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Metodologia e Técnicas da Computação","",0
"2","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Interação Humano Computador","",0
"3","CIENCIAS_HUMANAS","Educação","Tópicos Específicos de Educação","Informática Aplicada à Educação",0
"4","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Design de Interfaces","",0
"5","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Semiótica Em Sistemas de Informação","",0
"6","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Inteligência Artificial e Educação","",0
