NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","Usabilidade e Comunicação - Websites como Signos","2004","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","Usabilidade e Comunicação - Websites como Signos","NAO",0
"Congresso","Ambientes Inclusivos: Formação em Computação e Compromisso Social (Palestra de Abertura do WEI 2011)","2011","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",1
"Congresso","O FUTURO DA INFORMÁTICA NAEDUCAÇÃO NO BRASIL: PENSANDO OS PRÓXIMOS 25/30 ANOS","2015","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",2
"Congresso","Painel IHC no Brasil: Lições Aprendidas e Novas Perspectivas","2008","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",3
"Congresso","Informática Socialmente Relevante: Valores Educacionais na Sociedade Tecnológica Pós-moderna","2010","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",4
"Congresso","Acesso Participativo e Universal do Cidadão Brasileiro ao Conhecimento - Impacto no Currículo de Ciência da Computação","2007","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",5
"Congresso","Novas Competências na Formação do Profissional de Computação","2011","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",6
"Congresso","CODESIGN & SOCIAL AWARENESS IN HCI","2015","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",7
"Congresso","Informática socialmente responsável","2011","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",8
"Congresso","Ontology Charts as Boundary Objects","2004","Austria","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Ontology Charts as Boundary Objects","NAO",9
"Congresso","GranDIHC-BR: Prospecção de Grandes Desafios de Pesquisa em Interação Humano-Computador no Brasil","2012","Brasil","","NAO_INFORMADO","","NAO","Simposista","Convidado","","","NAO",10
