DESCRICAO-SITUACAO-PATENTE,DATA-SITUACAO-PATENTE,STATUS-SITUACAO-PATENTE,DETALHAMENTO-DA-PATENTE_Id
"Depósito","19102010","SIM",0
"Depósito PCT","19102010","SIM",0
