INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"UNICAMP","0","N","","Centro de Convenções","Campinas",0
"Universidade Federal do Paraná","0","N","","","Curitiba PR",1
"","0","N","","","sozopol",2
"","0","N","","","",3
"","0","N","","","",4
"","0","N","","","",5
"","","N","","","",6
"","0","N","","Angers","França",7
"","0","N","","Reading University","Reading, UK",8
"","0","N","","Rio de janeiro","Rio de Janeiro, RJ",9
"","0","N","","Unicamp","Campinas, SP",10
"ITESM","","N","","Cuernavaca","Cuernavaca",11
"SGCHI ACM","","N","","Áustria","Viena",12
"SBC/SBIE2005","","N","","Juiz de Fora, MG","Juiz de Fora",13
"Unicamp e Universidade de Reading","1","N","","Auditório da Biblioteca Central","Campinas, SP",14
"IFIP","1","N","","Brasil","Rio de Janeiro",15
"UNICAMP","","N","","UNICAMP","Campinas",16
"SBC/IHC","","N","","","Cuiabá",17
"SBC/ CEIE","1","N","","UNICAMP","CAMPINAS",18
"UNICAMP","","N","","Centro de Convenções - Unicamp","Campinas",19
"SBC/IHC","1","N","","Parque Tecnológico de Itaipu.","Foz do Iguaçu",20
"IFIP, WG 8.1","1","N","","UNICAMP","Campinas",21
"U E Maringá","0","N","","","Maringá PR",22
