ARTIGO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,ORDEM-IMPORTANCIA,ARTIGOS-PUBLICADOS_Id
0,"13","",0
1,"14","",0
2,"15","",0
3,"16","",0
4,"26","",0
5,"27","",0
6,"79","",0
7,"80","",0
8,"81","",0
9,"100","",0
10,"111","",0
11,"129","",0
12,"130","",0
13,"131","",0
14,"177","",0
15,"209","",0
16,"253","",0
17,"272","",0
18,"275","",0
19,"276","",0
20,"277","",0
21,"316","",0
22,"317","",0
23,"318","",0
24,"327","",0
25,"341","",0
26,"342","",0
27,"357","",0
28,"358","",0
29,"360","",0
30,"361","",0
31,"388","",0
32,"393","",0
33,"394","",0
34,"395","",0
35,"401","",0
36,"402","",0
37,"418","",0
38,"430","",0
39,"431","",0
40,"432","",0
41,"445","",0
42,"446","",0
43,"448","",0
44,"480","",0
45,"482","",0
46,"501","",0
47,"518","",0
48,"535","",0
49,"561","",0
50,"562","",0
51,"583","",0
52,"584","",0
53,"595","",0
54,"596","",0
55,"597","",0
56,"609","",0
57,"447","",0
