TITULO-DO-LIVRO,NUMERO-DE-VOLUMES,PAGINA-INICIAL,PAGINA-FINAL,ISBN,ORGANIZADORES,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"World Conference on Computers in Education","","","","","J.D. Tinsley; T.J. van Weert","","","The Netherlands","Chapman & Hall",0
"Artificial Intelligence in Education - Knowledge and Media in Learning Systems","","","","","B. du Boulay; R. Mizoguchi","","","The Netherlands","IOS Press",1
"Computadores e Conhecimento - Repensando a Educação","","45","63","","José Armando Valente","","","Campinas, SP","Unicamp",2
"Uma Abordagem Construcionista ao Design de um Ambiente para Programação em Lógica","","313","330","","José Armando Valente","","","Campinas, SP","Unicamp",3
"O Computador na Sociedade do Conhecimento","","45","69","","José Armando Valente","1","","Brasília","Proinfo- SED Ministério da Educação, Governo Federal",4
"Mobilidade e Comunicação","1","153","158","","A.A.F. Quevedo; J.R. de Oliveira; M.T.E. Mantoan","","","Campinas","Gráfica da Unicamp",5
"Mobilidade e Comunicação Desafios à Tecnologia e à Inclusão Social","1","177","188","","A.A.F. Quevedo; J.R. de Oliveira; M.T.E. mantoan","","","Campinas","Gráfica da Unicamp",6
"Encontro UNICAMP sobre Mobilidade e Comunicação Alternativa/Aumentativa","","","","","Antônio A.F. Quevedo; José Raimundo de Oliveira; Maria Teresa E. Mantoan","","","Campinas SP","",7
"Organisational Semiotics: Evolving a Science of Information Systems","","301","304","1-4020-718","Kecheng Liu; Rodney Clarke; Peter Andersen; Ronald Stamper","","","Dordrecht","Kluwer",8
"Enterprise Information Systems IV","","202","209","1-4020-108","Mario Piattini; Joaquim Filipe; Jose Braz","","","Dordrecht","Kluwer Academic Publishers",9
"Dynamics and Change in Organizations - Studies in Organizational Semiotics","1","63","88","1402014775","Henk W. M. Gazendam; René J.Jorna; Ruben S. Cijsow","","","Dordrecht","Kluwer Academic Publishers",10
"JAI/SBC2005 Jornadas de Atualização em Informática","Cap7","1500","1544","8576690330","M. P. Barcellos, A. A. F. Loureiro (coordenadores da JAI)","","","São Paulo","Sonopress-Rimo",11
"Tópicos em Sistemas Interativos e Colaborativos","1","167","212","8576691027","César A. C. Teixeira; Clever R.G. de Farias; Jair C. Leite; Raquel O. Prates","1","1","","",12
"Project Management and Risk Management in Complex Projects: Studies in Organizational Semiotics","","177","192","1402058363","Pierre-Jean Charrel ; Daniel Galarreta (eds.)","","","Heidelberg","Springer",13
"O Desafio das Diferenças nas Escolas","","89","108","9788532636775","M. Teresa E. Mantoan","","","Petrópolis","Editora Vozes Ltda.",14
"Aprendizagem na Era das Tecnologias Digitais","1","73","95","9788524913471","Valente, J.A.;Mazzone, J.; Baranauskas, M.C.C.","1","1","São Paulo","Cortez Editora",15
"EAD e Reflexão sobre a Prática: a formação do Profissional Reflexivo (no prelo)","1","183","203","9788589311502","J.A. Valente; Silvia Bustamante","1","","São Paulo","Editora Avercamp Ltda.",16
"Atores da Inclusão na Universidade: Formação e Compromisso","1","9","28","9788585783211","Maria Teresa Eglér Mantoan, M. Cecília C. Baranauskas.","","","Campinas","Núcleo Ativo Comunicação",17
"Usabilidade, Acessibilidade e Inteligibilidade Aplicadas em Interfaces para Analfabetos, Idosos e Pessoas com Deficiência - Resultados do Workshop","","55","62","9788587816030","MELO, A. M.; PICCOLO, L. S. G. ; AVILA, I. M. A. ; TAMBASCIA, C. A.","","","Campinas","Fundação CPqD",18
"Guia Didático sobre as Tecnologias da Comunicação e Informação","","140","144","9788588782594","Daniela Melaré Vieira Barros","","","Rio de Janeiro","Vieira&Lent",19
"Lecture Notes in Business Information Processing (LNBIP) - Springer-, 2011, v73 Enterprise Information Systems.","73","555","570","9783642198014","Joaquim Filipe; José Cordeiro","1","","Berlin","Springer-Verlag",20
"Lecture Notes in Business Information Processing (LNBIP)","73","526","540","1234567890","Joaquim Filipe; José Cordeiro","","","Berlin","Springer-Verlag",21
"Seeing Social Software Analysis and Evaluation through the Lenses of Culture. Lecture Notes in Business Information Processing","LNBIP","374","387","9783642299575","R. Zhang; et al.. (Org).","1","","NY","Springer Verlag",22
"XO na escola: construção compartilhada de conhecimento - lições aprendidas","1","6","12","9788588833074","M. Cecília C. Baranauskas; M. Cecília Martins; Rosangela de Assis","1","1","Campinas","NIED/UNICAMP",23
"XO na escola: construção compartilhada de conhecimento: lições aprendidas","1","42","59","9788588833074","M. Cecília C. Baranauskas; M. Cecília Martins; Rosangela de Assis","1","1","Campinas","NIED/UNICAMP",24
"XO na escola: construção compartilhada de conhecimento - lições aprendidas","1","84","98","9788588833074","M. Cecília C. Baranauskas; M. Cecília Martins; Rosangela de Assis","1","1","Campinas","NIED/UNICAMP",25
"XO na escola: construção compartilhada de conhecimento - lições aprendidas","1","99","115","9788588833074","M. Cecília C. Baranauskas; M. Cecília Martins; Rosangela de Assis","1","1","Campinas","NIED/UNICAMP",26
"XO na escola: construção compartilhada de conhecimento - lições aprendidas","1","311","323","9788588833074","M. Cecília C. Baranauskas; M. Cecília Martins; Rosangela de Assis","1","1","Campinas","NIED/UNICAMP",27
"XO na escola: construção compartilhada de conhecimento - lições aprendidas","1","324","332","9788588833074","M. Cecília C. Baranauskas; M. Cecília Martins; Rosangela de Assis","1","1","Campinas","NIED?UNICAMP",28
"XO na escola: construção compartilhada de conhecimento - lições aprendidas","1","23","41","9788588833074","M. Cecília C. Baranauskas; M. Cecília Martins; Rosangela de Assis","1","1","Campinas","NIED/UNICAMP",29
"XO na escola: construção compartilhada de conhecimento - lições aprendidas","1","338","345","9788588833074","M. Cecília C. Baranauskas; M. Cecília Martins; Rosangela de Assis","1","1","Campinas","NIED/UNICAMP",30
"Projeto Um Computador por Aluno: Pesquisas e Perspectivas","1","79","90","9788561815028","Fábio Ferrentini Sampaio; Marcos da Fonseca Elia","1","1","Rio de Janeiro","NCE/UFRJ",31
"Codesign de Redes Digitais - Tecnologia e Educação a Serviço da Inclusão Social","","23","37","9788565848633","Baranauskas, M.C.C.; Martins, M.C.; Valente, J.A.","1","","Porto Alegre","Penso Editora Ltda.",32
"Codesign de Redes Digitais - Tecnologia e Educação a Serviço da Inclusão Social","","38","66","9788565848633","Baranauskas, M.C.C.; Martins, M.C.; Valente, J.A.","1","","Porto Alegre","Penso Editora Ltda.",33
"Codesign de Redes Digitais - Tecnologia e Educação a Serviço da Inclusão Social","","67","86","9788565848633","Baranauskas, M.C.C.; Martins, M.C.; Valente, J.A.","1","","Porto Alegre","Penso Editora Ltda.",34
