NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Concurso público","Concurso para provimento de Cargo para Prof. Adjunto DE do Departamento de Computação, UFSCar, 03,04,05/Fevereiro/ 2004.","2004","Brasil","","","","",0
"Concurso público","Concurso para Provimento de Cargo de Professor","2004","Brasil","","","","",1
