ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-EM-ANDAMENTO_Id
0,"635",0
1,"592",0
2,"547",0
3,"389",0
4,"546",0
5,"637",0
