IDIOMA,DESCRICAO-DO-IDIOMA,PROFICIENCIA-DE-LEITURA,PROFICIENCIA-DE-FALA,PROFICIENCIA-DE-ESCRITA,PROFICIENCIA-DE-COMPREENSAO,IDIOMAS_Id
"EN","Inglês","BEM","BEM","BEM","BEM",0
"ES","Espanhol","BEM","POUCO","POUCO","RAZOAVELMENTE",0
"FR","Francês","RAZOAVELMENTE","POUCO","POUCO","POUCO",0
"PT","Português","BEM","BEM","BEM","BEM",0
"IT","Italiano","RAZOAVELMENTE","POUCO","POUCO","RAZOAVELMENTE",0
