NATUREZA,TITULO-DO-TRABALHO-TECNICO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-TECNICO-INGLES,TRABALHO-TECNICO_Id
"RELATORIO_TECNICO","Cartografia e Sistemas de Informação Geográfica como Sistemas Semióticos: Uma Análise Comparativa","1999","Brasil","Português","IMPRESSO","","NAO","","",0
"RELATORIO_TECNICO","Avaliação Heurística de um sistema altamente dependente do domínio","1998","Brasil","Português","IMPRESSO","","NAO","","",1
"RELATORIO_TECNICO","Semiotic Proposals for Software Design: Problems and Prospects","1998","Brasil","Português","IMPRESSO","","NAO","","",2
"RELATORIO_TECNICO","Análise do Processo Cartográfico para Estudo de Interfaces de Sistemas de Informação Geográfica","2000","Brasil","Português","IMPRESSO","http://www.ic.unicamp.br/ic-tr","NAO","","",3
"RELATORIO_TECNICO","Um Modelo Fractal de Comunicação Aplicado ao Processo de Design de Interfaces","2000","Brasil","Português","IMPRESSO","","NAO","","",4
"RELATORIO_TECNICO","Abordagem etnografica aplicada e a avaliacao de interfaces: um estudo de caso","2001","Brasil","Português","MEIO_DIGITAL","http://www.ic.unicamp.br/ic-tr-ftp/2001/Titles.html","NAO","","",5
"RELATORIO_TECNICO","Avaliando sinais em interfaces para sistemas de informacao geografica","2001","Brasil","Inglês","MEIO_DIGITAL","http://www.ic.unicamp.br/ic-tr-ftp/2001/Titles.html","NAO","","",6
"RELATORIO_TECNICO","Pesquisa Qualitativa em Sistemas de Informação","2003","Brasil","Português","MEIO_DIGITAL","","NAO","","",7
"RELATORIO_TECNICO","Laptops Educacionais de Baixo Custo: Análise Preliminar Baseada na Escada Semiótica","2007","Brasil","Português","MEIO_DIGITAL","","NAO","","",8
"RELATORIO_TECNICO","Taxonomia e Recomendação de Utilização de Artefatos Físicos de Interação com a TVDI","2007","Brasil","Português","MEIO_DIGITAL","","NAO","","",9
"RELATORIO_TECNICO","Laptops Educacionais de Baixo Custo: Propostas de Diretrizes Visando o Desenvolvimento Comunitário","2007","Brasil","Português","MEIO_DIGITAL","","NAO","","",10
"RELATORIO_TECNICO","Clarifying the dynamics of social networks: narratives from the social context of e-Cidadania","2008","Brasil","Inglês","MEIO_DIGITAL","http://www.ic.unicamp.br/~reltech/2008/abstracts.html","NAO","","",11
"RELATORIO_TECNICO","Inclusive social networks: Clarifying concepts and prospecting solutions for e-Cidadania","2008","Brasil","Inglês","NAO_INFORMADO","http://www.ic.unicamp.br/~reltech/2008/abstracts.html","NAO","","",12
"RELATORIO_TECNICO","An asynchronous client-side event logger model","2008","Brasil","Inglês","MEIO_DIGITAL","http://www.ic.unicamp.br/~reltech/2008/abstracts.html","NAO","","",13
"RELATORIO_TECNICO","Awareness em sistemas colaborativos: Conceitos e desafios","2008","Brasil","Português","MEIO_DIGITAL","http://www.ic.unicamp.br/~reltech/2008/abstracts.html","NAO","","",14
"RELATORIO_TECNICO","Requisitos de Interação para o Design de Interfaces, em Anais do 4o workshop de teses de doutorado em andamento do IC-UNICAMP","2008","Brasil","Português","NAO_INFORMADO","","NAO","","",15
"RELATORIO_TECNICO","Aprendizagem colaborativa baseada em problemas (ACBP): um modelo conceitual","2008","Brasil","Português","MEIO_DIGITAL","http://www.ic.unicamp.br/~reltech/2008/abstracts.html","NAO","","",16
"RELATORIO_TECNICO","An exploratory design for inclusive social networks","2008","Brasil","Inglês","MEIO_DIGITAL","http://www.ic.unicamp.br/~reltech/2008/abstracts.html","NAO","","",17
"RELATORIO_TECNICO","Bringing human-computer interaction to an agile process model","2008","Brasil","Inglês","MEIO_DIGITAL","http://www.ic.unicamp.br/~reltech/2008/abstracts.html","NAO","","",18
"RELATORIO_TECNICO","AIPM: an Agile Inclusive Process Model","2008","Brasil","Português","MEIO_DIGITAL","http://www.ic.unicamp.br/~reltech/2008/abstracts.html","NAO","","",19
"RELATORIO_TECNICO","An architecture to integrate content management systems and Web applications","2008","Brasil","Inglês","MEIO_DIGITAL","http://www.ic.unicamp.br/~reltech/2008/abstracts.html","NAO","","",20
"RELATORIO_TECNICO","Um processo para adequação de websites a requisitos de acessibilidade e usabilidade","2008","Brasil","Português","MEIO_DIGITAL","http://www.ic.unicamp.br/~reltech/2008/abstracts.html","NAO","","",21
"RELATORIO_TECNICO","A Semiótica e o Design de Software","1998","Brasil","Português","IMPRESSO","","NAO","","",22
