NOME-DO-PROJETO,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,RELATORIO-DE-PESQUISA_Id
"Grandes Projetos de Desenvolvimento Urbano: O que se pode aprender com a experiência brasileira?","92","RESTRITA","Lincoln Institute of Land Policy",0
"Avaliação dos impactos do programa minha casa, minha vida em dinâmicas urbano-regionais diferenciadas os casos de Campinas e São José do Rio Preto na região Sudeste e Recife e Caruaru na região Nordeste do Brasil","146","RESTRITA","CNPQ",1
